type,vertex_count,dimension,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
GRID,50,2,0,0.044081632653061226,0,0.035918367346938776,0,0.037551020408163265
GRID,100,2,0,0.02707070707070707,0,0.028686868686868688,0,0.028282828282828285
GRID,150,2,0,0.0229082774049217,1,0.022013422818791945,0,0.021655480984340045
GRID,50,2,9,0.031020408163265307,1,0.04244897959183674,0,0.037551020408163265
GRID,100,2,1,0.02585858585858586,1,0.027474747474747475,0,0.026262626262626262
GRID,150,2,0,0.021297539149888144,0,0.021297539149888144,0,0.022013422818791945
GRID,50,2,1,0.04244897959183674,0,0.04244897959183674,0,0.04081632653061224
GRID,100,2,0,0.027474747474747475,0,0.02909090909090909,0,0.024242424242424242
GRID,150,2,4,0.023803131991051454,0,0.023266219239373602,0,0.021118568232662192
GRID,50,2,0,0.044081632653061226,0,0.04244897959183674,0,0.045714285714285714
GRID,100,2,0,0.02909090909090909,0,0.026262626262626262,0,0.02585858585858586
GRID,150,2,3,0.023266219239373602,0,0.021655480984340045,0,0.02308724832214765
GRID,50,2,0,0.035918367346938776,0,0.0326530612244898,0,0.035918367346938776
GRID,100,2,0,0.025454545454545455,2,0.027474747474747475,0,0.025050505050505052
GRID,150,2,1,0.021476510067114093,2,0.02058165548098434,0,0.021655480984340045
GRID,50,2,2,0.03918367346938775,0,0.035918367346938776,0,0.04244897959183674
GRID,100,2,0,0.02666666666666667,0,0.027878787878787878,0,0.027878787878787878
GRID,150,2,3,0.021476510067114093,0,0.02237136465324385,0,0.021655480984340045
GRID,50,2,8,0.044081632653061226,4,0.03918367346938775,0,0.037551020408163265
GRID,100,2,2,0.027474747474747475,0,0.024646464646464646,0,0.02303030303030303
GRID,150,2,0,0.022550335570469798,2,0.021655480984340045,0,0.021118568232662192
GRID,50,2,0,0.044081632653061226,0,0.035918367346938776,0,0.045714285714285714
GRID,100,2,2,0.028686868686868688,0,0.02707070707070707,0,0.028686868686868688
GRID,150,2,1,0.021834451901565997,1,0.022550335570469798,0,0.021118568232662192
GRID,50,2,0,0.031020408163265307,1,0.04081632653061224,0,0.037551020408163265
GRID,100,2,2,0.025454545454545455,2,0.030707070707070707,0,0.029494949494949494
GRID,150,2,1,0.02308724832214765,0,0.022550335570469798,0,0.02237136465324385
GRID,50,2,0,0.03918367346938775,3,0.037551020408163265,0,0.04244897959183674
GRID,100,2,0,0.024646464646464646,1,0.029494949494949494,0,0.02585858585858586
GRID,150,2,0,0.021476510067114093,1,0.021476510067114093,0,0.020402684563758388
GRID,50,2,3,0.03918367346938775,1,0.0326530612244898,0,0.044081632653061226
GRID,100,2,0,0.025050505050505052,0,0.027474747474747475,0,0.028686868686868688
GRID,150,2,2,0.02237136465324385,0,0.022192393736017897,0,0.021834451901565997
GRID,50,2,1,0.037551020408163265,0,0.031020408163265307,0,0.0473469387755102
GRID,100,2,10,0.026262626262626262,1,0.02909090909090909,0,0.028282828282828285
GRID,150,2,0,0.02022371364653244,3,0.02237136465324385,0,0.023624161073825502
GRID,50,2,0,0.037551020408163265,6,0.04081632653061224,0,0.03918367346938775
GRID,100,2,0,0.026262626262626262,0,0.025050505050505052,0,0.025454545454545455
GRID,150,2,1,0.021118568232662192,0,0.022013422818791945,0,0.022013422818791945
GRID,50,2,0,0.03918367346938775,0,0.04244897959183674,0,0.029387755102040815
GRID,100,2,2,0.025454545454545455,0,0.02666666666666667,0,0.028282828282828285
GRID,150,2,2,0.02308724832214765,2,0.02237136465324385,0,0.02237136465324385
GRID,50,2,0,0.03918367346938775,1,0.035918367346938776,0,0.04081632653061224
GRID,100,2,1,0.02585858585858586,0,0.025454545454545455,0,0.0298989898989899
GRID,150,2,0,0.020760626398210292,1,0.021834451901565997,0,0.022192393736017897
GRID,50,2,1,0.04244897959183674,0,0.035918367346938776,0,0.035918367346938776
GRID,100,2,3,0.02585858585858586,1,0.026262626262626262,0,0.026262626262626262
GRID,150,2,3,0.02093959731543624,0,0.022550335570469798,0,0.022013422818791945
GRID,50,2,3,0.027755102040816326,1,0.03918367346938775,0,0.03918367346938775
GRID,100,2,5,0.02585858585858586,0,0.025454545454545455,0,0.026262626262626262
GRID,150,2,2,0.021834451901565997,6,0.023266219239373602,0,0.02093959731543624
GRID,50,2,2,0.04244897959183674,1,0.037551020408163265,0,0.04081632653061224
GRID,100,2,1,0.029494949494949494,0,0.02585858585858586,0,0.027474747474747475
GRID,150,2,0,0.021655480984340045,0,0.02093959731543624,0,0.022013422818791945
GRID,50,2,0,0.037551020408163265,0,0.0473469387755102,0,0.044081632653061226
GRID,100,2,0,0.02909090909090909,3,0.025454545454545455,0,0.02585858585858586
GRID,150,2,1,0.021297539149888144,1,0.021834451901565997,0,0.023445190156599554
GRID,50,2,2,0.035918367346938776,5,0.044081632653061226,0,0.0473469387755102
GRID,100,2,0,0.02666666666666667,1,0.025050505050505052,0,0.029494949494949494
GRID,150,2,0,0.02237136465324385,3,0.023445190156599554,0,0.021297539149888144
GRID,50,2,3,0.03918367346938775,0,0.037551020408163265,0,0.04244897959183674
GRID,100,2,0,0.027474747474747475,0,0.028282828282828285,0,0.028282828282828285
GRID,150,2,5,0.021297539149888144,0,0.022550335570469798,0,0.02237136465324385
GRID,50,2,4,0.035918367346938776,0,0.03918367346938775,0,0.044081632653061226
GRID,100,2,4,0.025454545454545455,0,0.025454545454545455,0,0.029494949494949494
GRID,150,2,0,0.022192393736017897,1,0.021476510067114093,0,0.022550335570469798
GRID,50,2,2,0.03918367346938775,0,0.03428571428571429,0,0.04244897959183674
