type,vertex_count,k,eigenvector_fp,eigenvector_energy,half_fp,half_energy
BA,150,3,3,0.041521252796420584,0,0.04689038031319911
BA,150,5,3,0.07427293064876958,8,0.07785234899328859
BA,150,7,2,0.1032662192393736,1,0.11006711409395974
BA,50,3,6,0.08979591836734693,0,0.09959183673469388
BA,50,5,1,0.14530612244897959,1,0.156734693877551
BA,50,7,2,0.19591836734693877,25,0.1436734693877551
BA,100,3,0,0.0602020202020202,2,0.06222222222222222
BA,100,5,1,0.10303030303030303,1,0.10020202020202021
BA,100,7,0,0.1406060606060606,0,0.13777777777777778
BA,150,3,1,0.04170022371364653,0,0.04384787472035794
BA,150,5,1,0.07480984340044743,4,0.0803579418344519
BA,150,7,0,0.10165548098434005,4,0.105413870246085
BA,50,3,1,0.0946938775510204,1,0.0963265306122449
BA,50,5,3,0.15020408163265306,1,0.15836734693877552
BA,50,7,1,0.18775510204081633,4,0.20081632653061224
BA,100,3,2,0.05818181818181818,3,0.05333333333333334
BA,100,5,5,0.1006060606060606,1,0.10666666666666667
BA,100,7,0,0.13737373737373737,1,0.1385858585858586
BA,150,3,1,0.04384787472035794,1,0.04527964205816555
BA,150,5,1,0.07695749440715884,0,0.07910514541387025
BA,150,7,1,0.10362416107382551,5,0.10809843400447428
BA,50,3,2,0.08653061224489796,1,0.0963265306122449
BA,50,5,3,0.15183673469387754,0,0.16
BA,50,7,5,0.20244897959183675,3,0.2073469387755102
BA,100,3,3,0.05494949494949495,0,0.05898989898989899
BA,100,5,2,0.09898989898989899,3,0.10101010101010101
BA,100,7,1,0.14222222222222222,0,0.14707070707070707
BA,150,3,4,0.04331096196868009,7,0.044205816554809846
BA,150,5,0,0.07516778523489932,0,0.08017897091722595
BA,150,7,1,0.10237136465324385,0,0.10899328859060403
BA,50,3,1,0.08979591836734693,2,0.09795918367346938
BA,50,5,0,0.14857142857142858,4,0.156734693877551
BA,50,7,0,0.19755102040816327,2,0.20081632653061224
BA,100,3,1,0.05696969696969697,2,0.0602020202020202
BA,100,5,2,0.10747474747474747,3,0.10787878787878788
BA,100,7,2,0.13414141414141414,2,0.13818181818181818
BA,150,3,0,0.04098434004474273,2,0.042058165548098436
BA,150,5,0,0.07266219239373602,1,0.07677852348993289
BA,150,7,1,0.10809843400447428,1,0.11149888143176734
BA,50,3,0,0.0963265306122449,3,0.09306122448979592
BA,50,5,1,0.16326530612244897,2,0.16163265306122448
BA,50,7,0,0.18285714285714286,1,0.1926530612244898
BA,100,3,3,0.059393939393939395,4,0.06262626262626263
BA,100,5,2,0.1006060606060606,0,0.10343434343434343
BA,100,7,0,0.13737373737373737,4,0.13696969696969696
BA,150,3,1,0.042953020134228186,0,0.046353467561521255
BA,150,5,1,0.07516778523489932,2,0.07677852348993289
BA,150,7,1,0.10612975391498881,2,0.11078299776286353
BA,50,3,2,0.0946938775510204,1,0.0946938775510204
BA,50,5,1,0.14857142857142858,1,0.15346938775510205
BA,50,7,4,0.18285714285714286,7,0.1910204081632653
BA,100,3,2,0.05656565656565657,3,0.06181818181818182
BA,100,5,3,0.09696969696969697,4,0.1006060606060606
BA,100,7,3,0.1397979797979798,1,0.14343434343434344
BA,150,3,2,0.04241610738255033,2,0.0461744966442953
BA,150,5,0,0.07713646532438478,3,0.0792841163310962
BA,150,7,1,0.10630872483221476,3,0.11203579418344518
BA,50,3,0,0.08326530612244898,3,0.08653061224489796
BA,50,5,0,0.15183673469387754,25,0.09306122448979592
BA,50,7,7,0.19918367346938776,12,0.17469387755102042
BA,100,3,2,0.057373737373737375,3,0.0602020202020202
BA,100,5,0,0.09575757575757576,7,0.10020202020202021
BA,100,7,4,0.13737373737373737,0,0.1397979797979798
BA,150,3,3,0.042953020134228186,4,0.04456375838926174
BA,150,5,1,0.07480984340044743,4,0.0789261744966443
BA,150,7,1,0.1039821029082774,1,0.10684563758389262
BA,50,3,2,0.08653061224489796,1,0.0963265306122449
BA,50,5,25,0.11755102040816326,1,0.16326530612244897
BA,50,7,1,0.19755102040816327,25,0.13877551020408163
BA,100,3,0,0.0597979797979798,1,0.06101010101010101
BA,100,5,0,0.1006060606060606,2,0.10222222222222223
BA,100,7,2,0.1321212121212121,4,0.13575757575757577
BA,150,3,1,0.04187919463087248,0,0.0454586129753915
BA,150,5,0,0.07659955257270694,2,0.08196868008948546
BA,150,7,0,0.10523489932885906,1,0.10702460850111857
BA,50,3,0,0.09306122448979592,7,0.09306122448979592
BA,50,5,3,0.16,6,0.15510204081632653
BA,50,7,0,0.1926530612244898,5,0.19918367346938776
BA,100,3,0,0.061414141414141414,6,0.05898989898989899
BA,100,5,0,0.10222222222222223,3,0.09858585858585858
BA,100,7,0,0.13656565656565656,1,0.1393939393939394
BA,150,3,2,0.04062639821029083,0,0.0458165548098434
BA,150,5,3,0.07516778523489932,1,0.07767337807606264
BA,150,7,0,0.10344519015659956,3,0.10666666666666667
BA,50,3,1,0.09306122448979592,2,0.09306122448979592
BA,50,5,3,0.15183673469387754,24,0.12408163265306123
BA,50,7,1,0.18775510204081633,6,0.19428571428571428
BA,100,3,0,0.05494949494949495,1,0.06222222222222222
BA,100,5,4,0.0993939393939394,1,0.09818181818181818
BA,100,7,0,0.13777777777777778,3,0.14303030303030304
BA,150,3,2,0.04348993288590604,3,0.046353467561521255
BA,150,5,3,0.07319910514541388,2,0.07445190156599553
BA,150,7,0,0.10595078299776287,0,0.10774049217002236
BA,50,3,2,0.08489795918367347,1,0.09142857142857143
BA,50,5,2,0.15836734693877552,7,0.16163265306122448
BA,50,7,1,0.19755102040816327,2,0.21061224489795918
BA,100,3,3,0.053737373737373736,10,0.05818181818181818
BA,100,5,0,0.09818181818181818,1,0.10303030303030303
BA,100,7,2,0.14303030303030304,3,0.141010101010101
BA,150,3,0,0.042237136465324385,2,0.0461744966442953
BA,150,5,1,0.07480984340044743,0,0.07874720357941835
BA,150,7,0,0.10058165548098434,2,0.10577181208053692
BA,50,3,4,0.08489795918367347,0,0.08979591836734693
BA,50,5,0,0.1469387755102041,3,0.14857142857142858
BA,50,7,2,0.19918367346938776,1,0.20408163265306123
BA,100,3,0,0.055353535353535356,2,0.0597979797979798
BA,100,5,1,0.10222222222222223,12,0.10303030303030303
BA,100,7,2,0.1402020202020202,1,0.14505050505050504
BA,150,3,2,0.040089485458612975,3,0.04187919463087248
BA,150,5,1,0.0774944071588367,9,0.0774944071588367
BA,150,7,1,0.10308724832214765,2,0.10845637583892617
BA,50,3,8,0.08653061224489796,25,0.062040816326530614
BA,50,5,2,0.1469387755102041,25,0.10775510204081633
BA,50,7,0,0.1926530612244898,6,0.19591836734693877
BA,100,3,0,0.057777777777777775,5,0.057373737373737375
BA,100,5,0,0.09616161616161616,1,0.0997979797979798
BA,100,7,0,0.13616161616161615,0,0.1414141414141414
BA,150,3,1,0.04331096196868009,3,0.04563758389261745
BA,150,5,1,0.07355704697986577,1,0.07695749440715884
BA,150,7,0,0.10720357941834452,1,0.11042505592841163
BA,50,3,0,0.0963265306122449,3,0.10122448979591837
BA,50,5,2,0.15183673469387754,3,0.16
BA,50,7,4,0.18285714285714286,3,0.1893877551020408
BA,100,3,1,0.059393939393939395,14,0.059393939393939395
BA,100,5,3,0.09777777777777778,1,0.09737373737373738
BA,100,7,2,0.1397979797979798,0,0.14343434343434344
BA,150,3,1,0.042237136465324385,5,0.04402684563758389
BA,150,5,1,0.07946308724832214,2,0.07838926174496644
BA,150,7,1,0.1043400447427293,3,0.10988814317673377
BA,50,3,2,0.0946938775510204,2,0.0963265306122449
BA,50,5,2,0.15346938775510205,2,0.15836734693877552
BA,50,7,5,0.18612244897959185,5,0.19591836734693877
BA,100,3,2,0.061414141414141414,1,0.06060606060606061
BA,100,5,0,0.0997979797979798,3,0.10666666666666667
BA,100,7,0,0.13777777777777778,8,0.1406060606060606
BA,150,3,0,0.04241610738255033,1,0.0454586129753915
BA,150,5,1,0.07463087248322148,2,0.07373601789709172
BA,150,7,2,0.10648769574944071,3,0.11006711409395974
BA,50,3,2,0.08979591836734693,0,0.09959183673469388
BA,50,5,1,0.15836734693877552,2,0.15183673469387754
BA,50,7,6,0.20081632653061224,1,0.20408163265306123
BA,100,3,0,0.05696969696969697,0,0.06101010101010101
BA,100,5,2,0.09818181818181818,6,0.10505050505050505
BA,100,7,1,0.13333333333333333,2,0.14181818181818182
BA,150,3,3,0.04456375838926174,0,0.046353467561521255
BA,150,5,1,0.07713646532438478,0,0.07713646532438478
BA,150,7,2,0.1025503355704698,1,0.10505592841163311
BA,50,3,3,0.08979591836734693,4,0.08163265306122448
BA,50,5,1,0.156734693877551,3,0.15510204081632653
BA,50,7,2,0.1926530612244898,25,0.15346938775510205
BA,100,3,3,0.05656565656565657,1,0.0597979797979798
BA,100,5,1,0.10101010101010101,5,0.10222222222222223
BA,100,7,1,0.13535353535353536,0,0.13777777777777778
BA,150,3,0,0.045100671140939595,3,0.04313199105145414
BA,150,5,0,0.07427293064876958,1,0.07624161073825503
BA,150,7,0,0.10344519015659956,18,0.1032662192393736
BA,50,3,3,0.08163265306122448,24,0.05714285714285714
BA,50,5,1,0.16,5,0.15183673469387754
BA,50,7,4,0.19591836734693877,7,0.1926530612244898
BA,100,3,2,0.05656565656565657,6,0.06101010101010101
BA,100,5,1,0.09777777777777778,3,0.10020202020202021
BA,100,7,0,0.1393939393939394,4,0.14303030303030304
BA,150,3,1,0.044205816554809846,2,0.0458165548098434
BA,150,5,0,0.07516778523489932,2,0.0785682326621924
BA,150,7,2,0.10791946308724833,5,0.11310961968680089
BA,50,3,1,0.08489795918367347,3,0.08816326530612245
BA,50,5,0,0.1469387755102041,0,0.15510204081632653
BA,50,7,2,0.20081632653061224,6,0.2057142857142857
BA,100,3,0,0.05414141414141414,2,0.05898989898989899
BA,100,5,0,0.10141414141414141,0,0.10141414141414141
BA,100,7,0,0.1385858585858586,1,0.13818181818181818
BA,150,3,1,0.04331096196868009,3,0.0461744966442953
BA,150,5,2,0.07516778523489932,1,0.07624161073825503
BA,150,7,3,0.10380313199105146,3,0.10863534675615212
BA,50,3,0,0.0946938775510204,1,0.0963265306122449
BA,50,5,1,0.15346938775510205,0,0.15836734693877552
BA,50,7,2,0.2057142857142857,6,0.19918367346938776
BA,100,3,0,0.05414141414141414,6,0.05818181818181818
BA,100,5,2,0.10545454545454545,1,0.10666666666666667
BA,100,7,2,0.13252525252525252,9,0.13737373737373737
BA,150,3,2,0.04366890380313199,2,0.045100671140939595
BA,150,5,1,0.07659955257270694,0,0.0785682326621924
BA,150,7,1,0.10451901565995526,4,0.10738255033557047
BA,50,3,0,0.09306122448979592,3,0.0963265306122449
BA,50,5,1,0.1469387755102041,0,0.13714285714285715
BA,50,7,25,0.15346938775510205,1,0.20081632653061224
BA,100,3,0,0.06060606060606061,2,0.06181818181818182
BA,100,5,1,0.09454545454545454,11,0.09454545454545454
BA,100,7,0,0.13737373737373737,0,0.1393939393939394
BA,150,3,3,0.04134228187919463,0,0.0458165548098434
BA,150,5,0,0.07391498881431767,3,0.07498881431767337
BA,150,7,0,0.10272930648769575,2,0.10738255033557047
BA,50,3,1,0.09306122448979592,3,0.08979591836734693
BA,50,5,1,0.14204081632653062,8,0.1404081632653061
BA,50,7,2,0.19918367346938776,1,0.1926530612244898
BA,100,3,1,0.057373737373737375,2,0.05656565656565657
BA,100,5,1,0.09818181818181818,3,0.10181818181818182
BA,100,7,4,0.1402020202020202,5,0.1397979797979798
BA,150,3,0,0.044205816554809846,4,0.04062639821029083
BA,150,5,0,0.07803131991051454,4,0.07516778523489932
BA,150,7,0,0.10451901565995526,1,0.10577181208053692
BA,50,3,1,0.09142857142857143,2,0.0946938775510204
BA,50,5,1,0.15346938775510205,1,0.15836734693877552
BA,50,7,0,0.20081632653061224,2,0.18612244897959185
BA,100,3,6,0.05818181818181818,1,0.06181818181818182
BA,100,5,0,0.10020202020202021,2,0.10343434343434343
BA,100,7,0,0.14181818181818182,2,0.14181818181818182
BA,150,3,2,0.042237136465324385,2,0.04402684563758389
BA,150,5,3,0.07391498881431767,2,0.07767337807606264
BA,150,7,1,0.10523489932885906,0,0.10738255033557047
BA,50,3,1,0.08979591836734693,8,0.09142857142857143
BA,50,5,6,0.1469387755102041,0,0.15510204081632653
BA,50,7,0,0.19428571428571428,2,0.20408163265306123
BA,100,3,3,0.055757575757575756,1,0.05656565656565657
BA,100,5,3,0.09373737373737374,2,0.09737373737373738
BA,100,7,4,0.14343434343434344,0,0.14585858585858585
BA,150,3,0,0.04170022371364653,0,0.042953020134228186
BA,150,5,1,0.07588366890380313,1,0.0792841163310962
BA,150,7,1,0.10756152125279642,1,0.10827740492170022
BA,50,3,1,0.09306122448979592,4,0.10285714285714286
BA,50,5,1,0.15346938775510205,2,0.16
BA,50,7,0,0.1910204081632653,18,0.16326530612244897
BA,100,3,2,0.05616161616161616,0,0.05898989898989899
BA,100,5,1,0.10020202020202021,3,0.10464646464646464
BA,100,7,1,0.13696969696969696,4,0.1385858585858586
BA,150,3,1,0.03991051454138703,2,0.04313199105145414
BA,150,5,0,0.07838926174496644,0,0.07982102908277405
BA,150,7,0,0.10666666666666667,3,0.11114093959731544
BA,50,3,1,0.09142857142857143,3,0.09959183673469388
BA,50,5,4,0.15346938775510205,19,0.12897959183673469
BA,50,7,1,0.19755102040816327,25,0.1436734693877551
BA,100,3,2,0.06101010101010101,1,0.061414141414141414
BA,100,5,4,0.10181818181818182,4,0.10383838383838384
BA,100,7,0,0.14505050505050504,2,0.141010101010101
BA,150,3,6,0.040805369127516776,3,0.044384787472035794
BA,150,5,1,0.07266219239373602,4,0.07355704697986577
BA,150,7,0,0.1039821029082774,0,0.10774049217002236
BA,50,3,0,0.0963265306122449,3,0.09795918367346938
BA,50,5,1,0.15183673469387754,25,0.12571428571428572
