type,vertex_count,edge_density,eigenvector_fp,eigenvector_energy,half_fp,half_energy
ER,100,0.4,0,0.3478787878787879,2,0.3434343434343434
ER,100,0.5,0,0.36686868686868684,2,0.3624242424242424
ER,20,0.1,4,0.042105263157894736,4,0.031578947368421054
ER,20,0.2,1,0.15789473684210525,3,0.16842105263157894
ER,20,0.3,1,0.2,2,0.16842105263157894
ER,20,0.4,2,0.24210526315789474,3,0.2736842105263158
ER,20,0.5,10,0.16842105263157894,10,0.2
ER,50,0.1,3,0.08489795918367347,2,0.08653061224489796
ER,50,0.2,3,0.18122448979591838,4,0.17959183673469387
ER,50,0.3,2,0.2416326530612245,1,0.25142857142857145
ER,50,0.4,5,0.3004081632653061,5,0.29061224489795917
ER,50,0.5,0,0.30857142857142855,2,0.3036734693877551
ER,100,0.1,2,0.1288888888888889,3,0.12808080808080807
ER,100,0.2,0,0.22585858585858587,1,0.22464646464646465
ER,100,0.3,1,0.30383838383838385,3,0.301010101010101
ER,100,0.4,0,0.3482828282828283,0,0.3498989898989899
ER,100,0.5,0,0.3608080808080808,0,0.3624242424242424
ER,20,0.1,3,0.06315789473684211,0,0.07368421052631578
ER,20,0.2,7,0.10526315789473684,3,0.12631578947368421
ER,20,0.3,3,0.16842105263157894,10,0.12631578947368421
ER,20,0.4,9,0.15789473684210525,1,0.18947368421052632
ER,20,0.5,0,0.25263157894736843,0,0.23157894736842105
ER,50,0.1,6,0.08326530612244898,1,0.08979591836734693
ER,50,0.2,3,0.1730612244897959,6,0.16489795918367348
ER,50,0.3,1,0.2612244897959184,1,0.2530612244897959
ER,50,0.4,1,0.29551020408163264,0,0.3020408163265306
ER,50,0.5,2,0.3183673469387755,0,0.313469387755102
ER,100,0.1,0,0.10666666666666667,2,0.10626262626262627
ER,100,0.2,1,0.22101010101010102,0,0.22505050505050506
ER,100,0.3,3,0.3086868686868687,2,0.3006060606060606
ER,100,0.4,0,0.34585858585858587,1,0.3393939393939394
ER,100,0.5,0,0.36363636363636365,0,0.36404040404040405
ER,20,0.1,6,0.021052631578947368,1,0.010526315789473684
ER,20,0.2,2,0.1368421052631579,0,0.14736842105263157
ER,20,0.3,3,0.15789473684210525,1,0.18947368421052632
ER,20,0.4,2,0.2,10,0.17894736842105263
ER,20,0.5,8,0.15789473684210525,0,0.25263157894736843
ER,50,0.1,1,0.07346938775510205,5,0.062040816326530614
ER,50,0.2,0,0.17959183673469387,2,0.18775510204081633
ER,50,0.3,0,0.24653061224489795,0,0.2530612244897959
ER,50,0.4,2,0.29714285714285715,0,0.29551020408163264
ER,50,0.5,1,0.30857142857142855,3,0.3183673469387755
ER,100,0.1,0,0.12808080808080807,1,0.12727272727272726
ER,100,0.2,0,0.22424242424242424,1,0.2290909090909091
ER,100,0.3,3,0.2997979797979798,3,0.30707070707070705
ER,100,0.4,0,0.34585858585858587,1,0.3527272727272727
ER,100,0.5,1,0.3591919191919192,1,0.3591919191919192
ER,20,0.1,1,0.06315789473684211,1,0.05263157894736842
ER,20,0.2,8,0.12631578947368421,7,0.10526315789473684
ER,20,0.3,3,0.1368421052631579,4,0.10526315789473684
ER,20,0.4,6,0.17894736842105263,1,0.18947368421052632
ER,20,0.5,6,0.17894736842105263,0,0.25263157894736843
ER,50,0.1,3,0.10448979591836735,0,0.09959183673469388
ER,50,0.2,1,0.19591836734693877,0,0.1926530612244898
ER,50,0.3,1,0.2546938775510204,3,0.2595918367346939
ER,50,0.4,1,0.31510204081632653,1,0.2922448979591837
ER,50,0.5,1,0.31673469387755104,3,0.3183673469387755
ER,100,0.1,4,0.12525252525252525,0,0.12808080808080807
ER,100,0.2,0,0.2311111111111111,0,0.22828282828282828
ER,100,0.3,1,0.30747474747474746,1,0.2997979797979798
ER,100,0.4,1,0.34949494949494947,0,0.3511111111111111
ER,100,0.5,0,0.36646464646464644,2,0.362020202020202
ER,20,0.1,1,0.06315789473684211,6,0.05263157894736842
ER,20,0.2,0,0.12631578947368421,2,0.12631578947368421
ER,20,0.3,1,0.17894736842105263,2,0.18947368421052632
ER,20,0.4,0,0.22105263157894736,0,0.22105263157894736
ER,20,0.5,2,0.25263157894736843,8,0.14736842105263157
ER,50,0.1,1,0.08979591836734693,5,0.08816326530612245
ER,50,0.2,0,0.19591836734693877,2,0.19591836734693877
ER,50,0.3,1,0.26285714285714284,2,0.2546938775510204
ER,50,0.4,5,0.2922448979591837,2,0.2873469387755102
ER,50,0.5,1,0.3020408163265306,0,0.3020408163265306
ER,100,0.1,1,0.10747474747474747,1,0.10626262626262627
ER,100,0.2,0,0.2222222222222222,1,0.22383838383838384
ER,100,0.3,0,0.301010101010101,1,0.3054545454545455
ER,100,0.4,2,0.3414141414141414,0,0.3434343434343434
ER,100,0.5,1,0.3612121212121212,2,0.36323232323232324
ER,20,0.1,1,0.06315789473684211,7,0.06315789473684211
ER,20,0.2,10,0.09473684210526316,10,0.09473684210526316
ER,20,0.3,3,0.15789473684210525,6,0.1368421052631579
ER,20,0.4,1,0.21052631578947367,1,0.18947368421052632
ER,20,0.5,8,0.10526315789473684,1,0.2631578947368421
ER,50,0.1,0,0.07673469387755102,0,0.07673469387755102
ER,50,0.2,0,0.16816326530612244,3,0.17142857142857143
ER,50,0.3,0,0.24,0,0.24979591836734694
ER,50,0.4,1,0.2938775510204082,0,0.2987755102040816
ER,50,0.5,0,0.30857142857142855,0,0.3053061224489796
ER,100,0.1,1,0.11797979797979798,6,0.1204040404040404
ER,100,0.2,0,0.21777777777777776,0,0.22101010101010102
ER,100,0.3,1,0.30383838383838385,1,0.31191919191919193
ER,100,0.4,0,0.34585858585858587,0,0.3515151515151515
ER,100,0.5,0,0.36363636363636365,1,0.3571717171717172
ER,20,0.1,10,0.031578947368421054,2,0.042105263157894736
ER,20,0.2,5,0.11578947368421053,3,0.10526315789473684
ER,20,0.3,8,0.08421052631578947,3,0.16842105263157894
ER,20,0.4,0,0.23157894736842105,1,0.23157894736842105
ER,20,0.5,0,0.21052631578947367,1,0.22105263157894736
ER,50,0.1,1,0.08163265306122448,0,0.07346938775510205
ER,50,0.2,1,0.20408163265306123,0,0.2089795918367347
ER,50,0.3,0,0.2563265306122449,5,0.24326530612244898
ER,50,0.4,0,0.3053061224489796,5,0.29551020408163264
ER,50,0.5,0,0.3216326530612245,2,0.3004081632653061
ER,100,0.1,1,0.11232323232323232,1,0.11636363636363636
ER,100,0.2,0,0.22383838383838384,0,0.22747474747474747
ER,100,0.3,0,0.30464646464646467,0,0.30424242424242426
ER,100,0.4,0,0.34464646464646465,2,0.34505050505050505
ER,100,0.5,0,0.3563636363636364,0,0.3624242424242424
ER,20,0.1,0,0.06315789473684211,1,0.07368421052631578
ER,20,0.2,6,0.09473684210526316,4,0.16842105263157894
ER,20,0.3,8,0.15789473684210525,2,0.18947368421052632
ER,20,0.4,4,0.2,0,0.24210526315789474
ER,20,0.5,1,0.22105263157894736,0,0.22105263157894736
ER,50,0.1,0,0.09142857142857143,1,0.08816326530612245
ER,50,0.2,1,0.18775510204081633,1,0.1893877551020408
ER,50,0.3,0,0.26448979591836735,0,0.2595918367346939
ER,50,0.4,0,0.3069387755102041,0,0.3020408163265306
ER,50,0.5,1,0.313469387755102,1,0.3053061224489796
ER,100,0.1,0,0.11313131313131314,2,0.11636363636363636
ER,100,0.2,1,0.22343434343434343,0,0.22383838383838384
ER,100,0.3,1,0.2973737373737374,0,0.2965656565656566
ER,100,0.4,2,0.34505050505050505,1,0.3498989898989899
ER,100,0.5,0,0.3652525252525253,0,0.3608080808080808
ER,20,0.1,6,0.031578947368421054,0,0.042105263157894736
ER,20,0.2,4,0.11578947368421053,0,0.12631578947368421
ER,20,0.3,6,0.16842105263157894,0,0.21052631578947367
ER,20,0.4,0,0.22105263157894736,6,0.16842105263157894
ER,20,0.5,1,0.23157894736842105,3,0.22105263157894736
ER,50,0.1,1,0.10938775510204081,1,0.10448979591836735
ER,50,0.2,1,0.19755102040816327,1,0.19428571428571428
ER,50,0.3,1,0.26448979591836735,3,0.2595918367346939
ER,50,0.4,0,0.2938775510204082,1,0.2873469387755102
ER,50,0.5,1,0.30857142857142855,1,0.31673469387755104
ER,100,0.1,0,0.10303030303030303,4,0.10868686868686869
ER,100,0.2,0,0.2294949494949495,1,0.22464646464646465
ER,100,0.3,0,0.3014141414141414,0,0.2973737373737374
ER,100,0.4,0,0.35313131313131313,3,0.3486868686868687
ER,100,0.5,0,0.36,0,0.3575757575757576
ER,20,0.1,9,0.021052631578947368,1,0.05263157894736842
ER,20,0.2,4,0.08421052631578947,2,0.08421052631578947
ER,20,0.3,0,0.16842105263157894,0,0.15789473684210525
ER,20,0.4,10,0.17894736842105263,2,0.23157894736842105
ER,20,0.5,0,0.22105263157894736,10,0.1368421052631579
ER,50,0.1,1,0.09959183673469388,5,0.08979591836734693
ER,50,0.2,1,0.18448979591836734,2,0.18448979591836734
ER,50,0.3,0,0.24,4,0.24
ER,50,0.4,0,0.29061224489795917,1,0.3036734693877551
ER,50,0.5,0,0.31510204081632653,4,0.30857142857142855
ER,100,0.1,4,0.11636363636363636,2,0.11838383838383838
ER,100,0.2,4,0.22828282828282828,2,0.22545454545454546
ER,100,0.3,1,0.30343434343434345,3,0.3018181818181818
ER,100,0.4,0,0.3486868686868687,2,0.34545454545454546
ER,100,0.5,1,0.3575757575757576,0,0.3612121212121212
ER,20,0.1,10,0.042105263157894736,2,0.07368421052631578
ER,20,0.2,0,0.10526315789473684,2,0.09473684210526316
ER,20,0.3,2,0.12631578947368421,2,0.1368421052631579
ER,20,0.4,10,0.15789473684210525,0,0.23157894736842105
ER,20,0.5,0,0.22105263157894736,1,0.22105263157894736
ER,50,0.1,2,0.09959183673469388,1,0.0946938775510204
ER,50,0.2,3,0.18775510204081633,2,0.18612244897959185
ER,50,0.3,0,0.2563265306122449,2,0.24653061224489795
ER,50,0.4,1,0.2938775510204082,0,0.3020408163265306
ER,50,0.5,0,0.31183673469387757,0,0.31510204081632653
ER,100,0.1,1,0.11838383838383838,2,0.11515151515151516
ER,100,0.2,1,0.22262626262626262,1,0.22464646464646465
ER,100,0.3,0,0.3006060606060606,3,0.29494949494949496
ER,100,0.4,0,0.35515151515151516,1,0.3482828282828283
ER,100,0.5,0,0.35515151515151516,1,0.36646464646464644
ER,20,0.1,2,0.021052631578947368,4,0.042105263157894736
ER,20,0.2,2,0.1368421052631579,1,0.1368421052631579
ER,20,0.3,0,0.15789473684210525,0,0.16842105263157894
ER,20,0.4,2,0.2,1,0.2
ER,20,0.5,1,0.23157894736842105,3,0.22105263157894736
ER,50,0.1,11,0.07510204081632653,2,0.07510204081632653
ER,50,0.2,0,0.19428571428571428,0,0.2089795918367347
ER,50,0.3,0,0.26448979591836735,1,0.2677551020408163
ER,50,0.4,1,0.2922448979591837,5,0.3036734693877551
ER,50,0.5,2,0.29714285714285715,0,0.31020408163265306
ER,100,0.1,2,0.12444444444444444,3,0.12525252525252525
ER,100,0.2,0,0.2315151515151515,0,0.2311111111111111
ER,100,0.3,1,0.30262626262626263,1,0.2957575757575758
ER,100,0.4,4,0.3515151515151515,4,0.34383838383838383
ER,100,0.5,2,0.3591919191919192,2,0.362020202020202
ER,20,0.1,5,0.05263157894736842,7,0.042105263157894736
ER,20,0.2,0,0.16842105263157894,6,0.12631578947368421
ER,20,0.3,0,0.21052631578947367,4,0.16842105263157894
ER,20,0.4,0,0.2,10,0.12631578947368421
ER,20,0.5,3,0.21052631578947367,0,0.23157894736842105
ER,50,0.1,6,0.08489795918367347,0,0.08
ER,50,0.2,2,0.18612244897959185,3,0.18775510204081633
ER,50,0.3,1,0.2530612244897959,1,0.2530612244897959
ER,50,0.4,0,0.2889795918367347,1,0.3069387755102041
ER,50,0.5,1,0.3183673469387755,2,0.3020408163265306
ER,100,0.1,2,0.12080808080808081,0,0.12202020202020201
ER,100,0.2,1,0.22707070707070706,0,0.22424242424242424
ER,100,0.3,0,0.30343434343434345,1,0.30505050505050507
ER,100,0.4,0,0.3426262626262626,1,0.3478787878787879
ER,100,0.5,1,0.36282828282828283,1,0.36686868686868684
ER,20,0.1,8,0.042105263157894736,10,0.010526315789473684
ER,20,0.2,6,0.09473684210526316,2,0.10526315789473684
ER,20,0.3,5,0.1368421052631579,1,0.1368421052631579
ER,20,0.4,0,0.25263157894736843,1,0.23157894736842105
ER,20,0.5,5,0.23157894736842105,1,0.21052631578947367
ER,50,0.1,4,0.09142857142857143,11,0.08326530612244898
ER,50,0.2,1,0.19428571428571428,1,0.18122448979591838
ER,50,0.3,0,0.2530612244897959,1,0.24489795918367346
ER,50,0.4,1,0.2938775510204082,2,0.2889795918367347
ER,50,0.5,5,0.31020408163265306,1,0.31673469387755104
ER,100,0.1,0,0.11757575757575757,1,0.11555555555555555
ER,100,0.2,0,0.22626262626262628,1,0.2206060606060606
ER,100,0.3,0,0.30424242424242426,2,0.301010101010101
ER,100,0.4,0,0.34949494949494947,1,0.35313131313131313
ER,100,0.5,1,0.36323232323232324,4,0.36282828282828283
ER,20,0.1,5,0.06315789473684211,6,0.06315789473684211
ER,20,0.2,2,0.15789473684210525,10,0.16842105263157894
ER,20,0.3,4,0.16842105263157894,0,0.21052631578947367
ER,20,0.4,10,0.14736842105263157,3,0.21052631578947367
ER,20,0.5,6,0.22105263157894736,1,0.24210526315789474
ER,50,0.1,0,0.08979591836734693,0,0.0783673469387755
ER,50,0.2,0,0.18122448979591838,0,0.17469387755102042
ER,50,0.3,1,0.2563265306122449,1,0.2612244897959184
ER,50,0.4,1,0.3036734693877551,6,0.29061224489795917
ER,50,0.5,0,0.31510204081632653,2,0.3183673469387755
ER,100,0.1,1,0.10383838383838384,1,0.10707070707070707
ER,100,0.2,0,0.23272727272727273,1,0.23232323232323232
ER,100,0.3,0,0.29494949494949496,1,0.2965656565656566
ER,100,0.4,2,0.3474747474747475,0,0.3470707070707071
ER,100,0.5,0,0.3624242424242424,1,0.3571717171717172
ER,20,0.1,10,0.021052631578947368,5,0.05263157894736842
ER,20,0.2,0,0.12631578947368421,0,0.11578947368421053
ER,20,0.3,0,0.22105263157894736,8,0.15789473684210525
ER,20,0.4,0,0.21052631578947367,0,0.23157894736842105
ER,20,0.5,1,0.21052631578947367,1,0.22105263157894736
ER,50,0.1,1,0.08,8,0.08163265306122448
ER,50,0.2,1,0.18775510204081633,0,0.18285714285714286
ER,50,0.3,0,0.26448979591836735,0,0.2563265306122449
ER,50,0.4,0,0.2889795918367347,2,0.2987755102040816
ER,50,0.5,0,0.313469387755102,0,0.31020408163265306
ER,100,0.1,0,0.11797979797979798,1,0.12121212121212122
ER,100,0.2,0,0.2197979797979798,3,0.22262626262626262
ER,100,0.3,0,0.30262626262626263,0,0.30383838383838385
ER,100,0.4,0,0.3507070707070707,2,0.3486868686868687
ER,100,0.5,0,0.3660606060606061,3,0.35797979797979795
ER,20,0.1,1,0.05263157894736842,4,0.06315789473684211
ER,20,0.2,0,0.09473684210526316,2,0.11578947368421053
ER,20,0.3,2,0.16842105263157894,2,0.16842105263157894
ER,20,0.4,2,0.21052631578947367,1,0.21052631578947367
ER,20,0.5,2,0.21052631578947367,3,0.25263157894736843
ER,50,0.1,2,0.08326530612244898,2,0.08
ER,50,0.2,0,0.1893877551020408,0,0.19591836734693877
ER,50,0.3,1,0.2563265306122449,0,0.25795918367346937
ER,50,0.4,2,0.2987755102040816,1,0.3053061224489796
ER,50,0.5,1,0.3069387755102041,3,0.3069387755102041
ER,100,0.1,1,0.1204040404040404,0,0.1204040404040404
ER,100,0.2,0,0.2197979797979798,3,0.21333333333333335
ER,100,0.3,2,0.30303030303030304,1,0.3022222222222222
ER,100,0.4,1,0.34505050505050505,0,0.34585858585858587
ER,100,0.5,1,0.3612121212121212,0,0.36444444444444446
ER,20,0.1,5,0.031578947368421054,0,0.042105263157894736
ER,20,0.2,6,0.10526315789473684,8,0.09473684210526316
ER,20,0.3,10,0.1368421052631579,4,0.17894736842105263
ER,20,0.4,1,0.22105263157894736,2,0.21052631578947367
ER,20,0.5,0,0.22105263157894736,10,0.18947368421052632
ER,50,0.1,1,0.08,3,0.08326530612244898
ER,50,0.2,0,0.19755102040816327,1,0.1926530612244898
ER,50,0.3,3,0.2612244897959184,4,0.25795918367346937
ER,50,0.4,0,0.29714285714285715,1,0.2857142857142857
ER,50,0.5,1,0.3020408163265306,1,0.3069387755102041
ER,100,0.1,0,0.12282828282828283,2,0.12121212121212122
ER,100,0.2,0,0.22626262626262628,0,0.22585858585858587
ER,100,0.3,0,0.2961616161616162,0,0.29454545454545455
ER,100,0.4,2,0.3498989898989899,2,0.34424242424242424
ER,100,0.5,3,0.3591919191919192,0,0.36808080808080806
ER,20,0.1,2,0.05263157894736842,2,0.042105263157894736
ER,20,0.2,3,0.11578947368421053,0,0.11578947368421053
ER,20,0.3,6,0.10526315789473684,3,0.15789473684210525
ER,20,0.4,1,0.22105263157894736,0,0.23157894736842105
ER,20,0.5,10,0.15789473684210525,1,0.25263157894736843
ER,50,0.1,1,0.07510204081632653,1,0.07346938775510205
ER,50,0.2,0,0.1730612244897959,1,0.17795918367346938
ER,50,0.3,2,0.25795918367346937,2,0.26285714285714284
ER,50,0.4,0,0.3020408163265306,6,0.2922448979591837
ER,50,0.5,1,0.31183673469387757,9,0.29714285714285715
ER,100,0.1,1,0.10464646464646464,2,0.10262626262626262
ER,100,0.2,1,0.2222222222222222,1,0.21898989898989898
ER,100,0.3,1,0.30262626262626263,0,0.30424242424242426
ER,100,0.4,0,0.34949494949494947,1,0.3490909090909091
ER,100,0.5,0,0.36444444444444446,1,0.3612121212121212
ER,20,0.1,1,0.05263157894736842,4,0.05263157894736842
ER,20,0.2,10,0.06315789473684211,7,0.10526315789473684
ER,20,0.3,2,0.15789473684210525,2,0.22105263157894736
ER,20,0.4,1,0.21052631578947367,10,0.14736842105263157
ER,20,0.5,1,0.22105263157894736,1,0.2
ER,50,0.1,1,0.09795918367346938,1,0.10122448979591837
ER,50,0.2,1,0.18122448979591838,2,0.1763265306122449
ER,50,0.3,2,0.2416326530612245,2,0.2546938775510204
ER,50,0.4,0,0.3020408163265306,0,0.3004081632653061
ER,50,0.5,1,0.3053061224489796,1,0.31183673469387757
ER,100,0.1,2,0.11393939393939394,1,0.11515151515151516
ER,100,0.2,0,0.21454545454545454,3,0.21212121212121213
ER,100,0.3,1,0.3002020202020202,1,0.3006060606060606
ER,100,0.4,2,0.338989898989899,2,0.33575757575757575
ER,100,0.5,3,0.3575757575757576,1,0.36646464646464644
ER,20,0.1,7,0.031578947368421054,5,0.031578947368421054
ER,20,0.2,1,0.14736842105263157,2,0.12631578947368421
ER,20,0.3,10,0.15789473684210525,10,0.15789473684210525
ER,20,0.4,2,0.24210526315789474,3,0.18947368421052632
ER,20,0.5,2,0.24210526315789474,7,0.2
ER,50,0.1,0,0.09795918367346938,2,0.10448979591836735
ER,50,0.2,2,0.18122448979591838,1,0.18775510204081633
ER,50,0.3,0,0.26612244897959186,1,0.26612244897959186
ER,50,0.4,1,0.2938775510204082,0,0.29714285714285715
ER,50,0.5,1,0.313469387755102,0,0.32979591836734695
ER,100,0.1,1,0.1111111111111111,0,0.11151515151515151
ER,100,0.2,0,0.22383838383838384,1,0.22585858585858587
ER,100,0.3,1,0.2973737373737374,1,0.2961616161616162
ER,100,0.4,1,0.3478787878787879,2,0.35313131313131313
ER,100,0.5,0,0.3595959595959596,1,0.3660606060606061
ER,20,0.1,4,0.042105263157894736,10,0.031578947368421054
ER,20,0.2,1,0.12631578947368421,0,0.11578947368421053
ER,20,0.3,2,0.2,4,0.16842105263157894
ER,20,0.4,0,0.23157894736842105,6,0.15789473684210525
ER,20,0.5,1,0.24210526315789474,1,0.24210526315789474
ER,50,0.1,3,0.08326530612244898,4,0.08816326530612245
ER,50,0.2,0,0.1893877551020408,3,0.17469387755102042
ER,50,0.3,0,0.24653061224489795,3,0.24816326530612245
ER,50,0.4,7,0.28408163265306124,0,0.3004081632653061
ER,50,0.5,0,0.313469387755102,2,0.31673469387755104
ER,100,0.1,2,0.12525252525252525,3,0.12202020202020201
ER,100,0.2,1,0.21898989898989898,6,0.21898989898989898
ER,100,0.3,2,0.29454545454545455,1,0.29535353535353537
ER,100,0.4,1,0.3418181818181818,0,0.34424242424242424
ER,100,0.5,2,0.3624242424242424,0,0.3660606060606061
ER,20,0.1,6,0.05263157894736842,2,0.06315789473684211
ER,20,0.2,2,0.042105263157894736,6,0.05263157894736842
ER,20,0.3,1,0.18947368421052632,0,0.16842105263157894
ER,20,0.4,1,0.22105263157894736,1,0.22105263157894736
ER,20,0.5,8,0.15789473684210525,0,0.18947368421052632
ER,50,0.1,2,0.10448979591836735,0,0.10122448979591837
ER,50,0.2,0,0.19755102040816327,4,0.2057142857142857
ER,50,0.3,0,0.24489795918367346,1,0.2546938775510204
ER,50,0.4,1,0.2987755102040816,1,0.29551020408163264
ER,50,0.5,0,0.31183673469387757,4,0.3069387755102041
ER,100,0.1,1,0.11676767676767677,2,0.11878787878787879
ER,100,0.2,2,0.21777777777777776,3,0.21898989898989898
ER,100,0.3,3,0.29292929292929293,0,0.2961616161616162
ER,100,0.4,0,0.35555555555555557,2,0.3503030303030303
ER,100,0.5,1,0.36484848484848487,2,0.3660606060606061
ER,20,0.1,8,0.010526315789473684,10,0.010526315789473684
