type,vertex_count,k,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
BA,50,3,2,0.0946938775510204,1,0.10448979591836735,0,0.09959183673469388
BA,50,5,10,0.1469387755102041,1,0.15020408163265306,0,0.15020408163265306
BA,50,7,1,0.20081632653061224,25,0.1469387755102041,0,0.19428571428571428
BA,100,3,5,0.05131313131313131,2,0.057373737373737375,0,0.05858585858585859
BA,100,5,0,0.1006060606060606,1,0.0997979797979798,0,0.10464646464646464
BA,100,7,2,0.13696969696969696,2,0.1397979797979798,0,0.138989898989899
BA,150,3,2,0.042058165548098436,0,0.04492170022371365,0,0.04456375838926174
BA,150,5,0,0.07785234899328859,3,0.07838926174496644,0,0.08
BA,150,7,1,0.11185682326621924,1,0.11060402684563758,0,0.11131991051454139
BA,50,3,19,0.07510204081632653,3,0.08979591836734693,0,0.09795918367346938
BA,50,5,1,0.16,2,0.15510204081632653,0,0.15346938775510205
BA,50,7,16,0.18122448979591838,4,0.19755102040816327,0,0.1926530612244898
BA,100,3,1,0.057373737373737375,1,0.0602020202020202,0,0.057777777777777775
BA,100,5,0,0.0993939393939394,1,0.10141414141414141,0,0.10303030303030303
BA,100,7,0,0.14909090909090908,1,0.14585858585858585,0,0.14181818181818182
BA,150,3,3,0.04456375838926174,6,0.042953020134228186,0,0.045100671140939595
BA,150,5,1,0.0789261744966443,3,0.0789261744966443,0,0.07910514541387025
BA,150,7,2,0.11060402684563758,5,0.1123937360178971,0,0.10881431767337807
BA,50,3,0,0.09142857142857143,3,0.09306122448979592,0,0.09795918367346938
BA,50,5,1,0.13877551020408163,0,0.15183673469387754,0,0.14530612244897959
BA,50,7,11,0.1910204081632653,5,0.1926530612244898,0,0.1893877551020408
BA,100,3,2,0.06060606060606061,5,0.0602020202020202,0,0.06343434343434344
BA,100,5,3,0.10101010101010101,0,0.10505050505050505,0,0.10626262626262627
BA,100,7,19,0.13454545454545455,16,0.13414141414141414,0,0.1414141414141414
BA,150,3,1,0.04384787472035794,6,0.0447427293064877,0,0.04599552572706935
BA,150,5,1,0.0785682326621924,0,0.07982102908277405,0,0.07946308724832214
BA,150,7,2,0.11257270693512304,0,0.11167785234899329,0,0.10970917225950783
BA,50,3,1,0.09795918367346938,4,0.09795918367346938,0,0.09306122448979592
BA,50,5,20,0.13224489795918368,11,0.13551020408163264,0,0.16326530612244897
BA,50,7,2,0.2089795918367347,8,0.19591836734693877,0,0.2073469387755102
BA,100,3,1,0.05818181818181818,2,0.06181818181818182,0,0.06101010101010101
BA,100,5,5,0.10464646464646464,5,0.10464646464646464,0,0.10909090909090909
BA,100,7,1,0.1385858585858586,1,0.1397979797979798,0,0.13696969696969696
BA,150,3,7,0.04277404921700224,0,0.04671140939597315,0,0.046532438478747204
BA,150,5,1,0.07946308724832214,15,0.07570469798657718,0,0.0796420581655481
BA,150,7,5,0.10577181208053692,1,0.10362416107382551,0,0.10630872483221476
BA,50,3,3,0.08816326530612245,25,0.053877551020408164,0,0.0946938775510204
BA,50,5,0,0.14204081632653062,25,0.12244897959183673,0,0.16326530612244897
BA,50,7,11,0.18775510204081633,3,0.19428571428571428,0,0.19918367346938776
BA,100,3,4,0.0597979797979798,3,0.059393939393939395,0,0.05818181818181818
BA,100,5,4,0.10343434343434343,0,0.10181818181818182,0,0.09777777777777778
BA,100,7,1,0.13777777777777778,5,0.13333333333333333,0,0.1482828282828283
BA,150,3,0,0.047069351230425056,1,0.0461744966442953,0,0.044384787472035794
BA,150,5,2,0.07606263982102908,3,0.07570469798657718,0,0.08
BA,150,7,5,0.11096196868008948,6,0.10970917225950783,0,0.11131991051454139
BA,50,3,0,0.10448979591836735,1,0.09795918367346938,0,0.10285714285714286
BA,50,5,4,0.16,2,0.15510204081632653,0,0.16489795918367348
BA,50,7,2,0.19591836734693877,1,0.19591836734693877,0,0.20244897959183675
BA,100,3,8,0.057777777777777775,3,0.05858585858585859,0,0.0602020202020202
BA,100,5,0,0.10383838383838384,8,0.10424242424242425,0,0.10747474747474747
BA,100,7,5,0.141010101010101,4,0.1414141414141414,0,0.13777777777777778
BA,150,3,5,0.0454586129753915,1,0.04563758389261745,0,0.04563758389261745
BA,150,5,8,0.07838926174496644,5,0.07731543624161073,0,0.07463087248322148
BA,150,7,1,0.10559284116331097,3,0.10559284116331097,0,0.10559284116331097
BA,50,3,0,0.09795918367346938,1,0.09795918367346938,0,0.09959183673469388
BA,50,5,4,0.14204081632653062,0,0.1469387755102041,0,0.15020408163265306
BA,50,7,1,0.19918367346938776,0,0.20244897959183675,0,0.2073469387755102
BA,100,3,0,0.06262626262626263,5,0.05818181818181818,0,0.06505050505050505
BA,100,5,1,0.10383838383838384,3,0.10545454545454545,0,0.10262626262626262
BA,100,7,8,0.138989898989899,3,0.1402020202020202,0,0.14747474747474748
BA,150,3,1,0.0458165548098434,1,0.0461744966442953,0,0.04671140939597315
BA,150,5,2,0.07516778523489932,5,0.07838926174496644,0,0.07910514541387025
BA,150,7,0,0.10756152125279642,1,0.10774049217002236,0,0.10881431767337807
BA,50,3,2,0.09306122448979592,2,0.09795918367346938,0,0.09142857142857143
BA,50,5,1,0.16489795918367348,1,0.15346938775510205,0,0.156734693877551
BA,50,7,1,0.18285714285714286,2,0.20081632653061224,0,0.21224489795918366
BA,100,3,7,0.05818181818181818,1,0.06222222222222222,0,0.057373737373737375
BA,100,5,3,0.10262626262626262,1,0.10020202020202021,0,0.10141414141414141
BA,100,7,2,0.1393939393939394,5,0.141010101010101,0,0.1414141414141414
