type,vertex_count,k,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp,pagerank_energy,betweenness_fp,betweenness_energy,clustering_fp,clustering_energy,degree_fp,degree_energy
BA,150,5,2,0.07893323787363522,1,0.07642058165548099,1,0.07677852348993289,2,0.07571147306246644,1,0.07838926174496644,0,0.07767337807606264
BA,150,7,2,0.10864506890996957,0,0.10666666666666667,4,0.10708210224729162,1,0.10791946308724833,4,0.10994717521711882,1,0.10774049217002236
BA,50,3,4,0.0918785890073831,3,0.09656301145662848,0,0.08653061224489796,1,0.08816326530612245,11,0.08717948717948718,0,0.09306122448979592
BA,50,5,7,0.15282392026578073,1,0.15346938775510205,1,0.15346938775510205,1,0.15346938775510205,4,0.14930270713699753,2,0.15522875816993464
BA,50,7,6,0.19008264462809918,0,0.1926530612244898,4,0.18867924528301888,4,0.18539786710418377,9,0.2001682085786375,1,0.17959183673469387
BA,100,3,2,0.05900181854920186,1,0.057373737373737375,0,0.05333333333333334,0,0.055353535353535356,6,0.05876393110435663,0,0.05818181818181818
BA,100,5,1,0.10585858585858586,1,0.0993939393939394,0,0.1006060606060606,1,0.10222222222222223,0,0.10747474747474747,1,0.09696969696969697
BA,100,7,3,0.14432989690721648,0,0.13818181818181818,1,0.13777777777777778,0,0.1402020202020202,1,0.14181818181818182,1,0.14666666666666667
BA,150,3,0,0.0458165548098434,0,0.04348993288590604,0,0.04348993288590604,1,0.04456375838926174,5,0.04585759068517689,0,0.04527964205816555
BA,150,5,2,0.07499552532665116,0,0.07319910514541388,0,0.07409395973154362,1,0.07391498881431767,2,0.07517451226060498,7,0.07441276672045903
BA,150,7,0,0.11114093959731544,3,0.10633727175080558,0,0.10648769574944071,0,0.10738255033557047,0,0.1123937360178971,0,0.10738255033557047
BA,50,3,0,0.10285714285714286,2,0.0784313725490196,1,0.08489795918367347,0,0.09795918367346938,5,0.08724279835390947,15,0.09464285714285714
BA,50,5,1,0.16163265306122448,1,0.15510204081632653,0,0.14530612244897959,0,0.15510204081632653,18,0.15858208955223882,0,0.15510204081632653
BA,50,7,13,0.2074978204010462,1,0.2073469387755102,2,0.19607843137254902,1,0.20081632653061224,0,0.20244897959183675,1,0.2057142857142857
BA,100,3,4,0.060275080906148866,0,0.05858585858585859,0,0.05656565656565657,0,0.055757575757575756,1,0.05616161616161616,2,0.05981006263891695
BA,100,5,0,0.10343434343434343,2,0.10183875530410184,0,0.09575757575757576,0,0.10181818181818182,4,0.10072815533980582,4,0.09425566343042072
BA,100,7,1,0.14383838383838385,1,0.13737373737373737,1,0.1385858585858586,1,0.13616161616161615,1,0.13818181818181818,2,0.13780561729642352
BA,150,3,1,0.046353467561521255,0,0.04313199105145414,2,0.04277787721496331,0,0.04259507829977629,1,0.04563758389261745,2,0.042956864148917126
BA,150,5,1,0.08017897091722595,4,0.07413376309427881,2,0.07392160372292822,0,0.07480984340044743,1,0.0774944071588367,2,0.07571147306246644
BA,150,7,0,0.105413870246085,1,0.10559284116331097,3,0.10204081632653061,1,0.101834451901566,3,0.10687432867883996,1,0.10577181208053692
BA,50,3,8,0.0935672514619883,3,0.0867430441898527,0,0.0963265306122449,0,0.0963265306122449,4,0.08531583264971287,1,0.09959183673469388
BA,50,5,5,0.15308641975308643,4,0.1443806398687449,4,0.14766201804757997,0,0.1469387755102041,3,0.15711947626841244,2,0.1503267973856209
BA,50,7,2,0.20098039215686275,0,0.20244897959183675,0,0.2073469387755102,3,0.18821603927986907,20,0.19710144927536233,1,0.20081632653061224
BA,100,3,1,0.06181818181818182,0,0.057373737373737375,0,0.0597979797979798,2,0.0594059405940594,5,0.05910931174089069,3,0.05902567212451991
BA,100,5,2,0.10709234188724995,2,0.10022226712467165,1,0.0997979797979798,1,0.10101010101010101,0,0.10747474747474747,1,0.10020202020202021
BA,100,7,2,0.1410385936552839,3,0.13826561552456035,2,0.13780561729642352,0,0.1321212121212121,12,0.13677313677313677,0,0.1414141414141414
BA,150,3,4,0.0454830333960068,1,0.04098434004474273,0,0.03991051454138703,3,0.04171142141066953,2,0.04277787721496331,1,0.042237136465324385
BA,150,5,0,0.08,3,0.07626208378088077,3,0.07644110275689223,4,0.0759244337004208,1,0.07695749440715884,2,0.07911222480758905
BA,150,7,1,0.10845637583892617,0,0.10523489932885906,2,0.10452836942903168,1,0.105413870246085,2,0.10954000357973868,0,0.10684563758389262
BA,50,3,1,0.08979591836734693,1,0.08163265306122448,1,0.08326530612244898,1,0.08,24,0.06954689146469968,2,0.08169934640522876
BA,50,5,2,0.15522875816993464,6,0.14710743801652892,1,0.14857142857142858,0,0.15346938775510205,15,0.15,4,0.14766201804757997
BA,50,7,2,0.18627450980392157,0,0.19918367346938776,0,0.18612244897959185,3,0.19476268412438624,2,0.1895424836601307,4,0.18211648892534865
BA,100,3,2,0.058193574459486766,0,0.05818181818181818,2,0.05778945241462922,1,0.05898989898989899,1,0.057373737373737375,3,0.059834242975540734
BA,100,5,36,0.09768518518518518,1,0.09656565656565656,2,0.09820165690038392,3,0.0974327875480089,7,0.09738283627510651,4,0.09789644012944984
BA,100,7,3,0.14190418435415403,2,0.14144271570014144,0,0.14464646464646463,0,0.14181818181818182,1,0.14262626262626263,0,0.13818181818181818
BA,150,3,3,0.04421768707482993,0,0.04277404921700224,0,0.04170022371364653,0,0.041521252796420584,1,0.04277404921700224,2,0.043493824950778595
BA,150,5,5,0.07917599641737573,2,0.0762484338643279,0,0.07445190156599553,0,0.07427293064876958,6,0.07867383512544802,0,0.07480984340044743
BA,150,7,6,0.110752688172043,2,0.10596026490066225,3,0.1054421768707483,1,0.10487695749440716,3,0.11027568922305764,2,0.10649722570252372
BA,50,3,0,0.0946938775510204,1,0.08816326530612245,1,0.08489795918367347,1,0.08,1,0.0946938775510204,2,0.08169934640522876
BA,50,5,1,0.14857142857142858,1,0.15836734693877552,1,0.14857142857142858,0,0.16,3,0.15220949263502456,1,0.16326530612244897
BA,50,7,1,0.20081632653061224,1,0.19918367346938776,0,0.18612244897959185,2,0.19607843137254902,4,0.19688269073010664,1,0.17959183673469387
BA,100,3,1,0.05616161616161616,1,0.05656565656565657,0,0.05414141414141414,0,0.055757575757575756,8,0.056074766355140186,1,0.055353535353535356
BA,100,5,6,0.10415400202634245,2,0.10103051121438675,5,0.10283400809716599,0,0.10545454545454545,0,0.10707070707070707,1,0.10424242424242425
BA,100,7,6,0.13738601823708207,1,0.13616161616161615,1,0.1406060606060606,2,0.13699737320670843,2,0.13861386138613863,4,0.13875404530744337
BA,150,3,3,0.044754744002864305,5,0.04102104791759964,0,0.042237136465324385,1,0.04170022371364653,3,0.04493376297887576,1,0.042058165548098436
