type,vertex_count,k,eigenvector_fp,eigenvector_energy,original_fp,original_energy
BA,500,3,0,0.0171062124248497,2,0.017940023567323184
BA,500,5,1,0.02988376753507014,0,0.030845691382765533
BA,500,7,0,0.04155511022044088,2,0.043014372860704295
BA,300,3,1,0.025016722408026756,6,0.026006468161034905
BA,300,5,1,0.04521739130434783,2,0.047358915471916875
BA,300,7,4,0.06395504415306395,4,0.0652038176790652
BA,500,3,1,0.01696192384769539,0,0.017939879759519037
BA,500,5,1,0.029627254509018035,1,0.03098997995991984
BA,500,7,0,0.04211623246492986,4,0.043513114859231705
BA,300,3,0,0.025150501672240803,3,0.026445470154079425
BA,300,5,1,0.0444593088071349,3,0.04593395321872143
BA,300,7,1,0.06336677814938685,2,0.06577627148877344
BA,500,3,0,0.01701002004008016,0,0.018148296593186373
BA,500,5,1,0.02970741482965932,2,0.03052529479194222
BA,500,7,1,0.04142685370741483,0,0.042917835671342684
BA,300,3,1,0.02479375696767001,2,0.02778211331356329
BA,300,5,1,0.04521739130434783,6,0.046659975465596075
BA,300,7,3,0.06377238165317635,3,0.0653778402122773
BA,500,3,0,0.016993987975951905,0,0.018036072144288578
BA,500,5,1,0.029739478957915833,4,0.031103700378374913
BA,500,7,2,0.04211657007270599,0,0.043350701402805614
BA,300,3,0,0.0253288740245262,0,0.0274247491638796
BA,300,5,1,0.0441025641025641,3,0.044863647512654134
BA,300,7,1,0.06390189520624304,3,0.0653778402122773
BA,500,3,0,0.01733066132264529,0,0.018004008016032063
BA,500,5,0,0.02993186372745491,0,0.0308937875751503
BA,500,7,2,0.04232498857706274,3,0.04285473798969113
BA,300,3,0,0.0253288740245262,1,0.02693422519509476
BA,300,5,0,0.04370122630992196,1,0.04530657748049052
BA,300,7,4,0.06284006779056284,1,0.06425863991081382
BA,500,3,1,0.016945891783567136,2,0.01785986260410905
BA,500,5,0,0.02980360721442886,1,0.030701402805611223
BA,500,7,5,0.04192720859387526,0,0.043559118236472946
BA,300,3,1,0.02573021181716834,0,0.027246376811594204
BA,300,5,2,0.044683270530000666,1,0.04709030100334448
BA,300,7,2,0.0635911614528752,2,0.06492898392383331
BA,500,3,1,0.01715430861723447,1,0.01798797595190381
BA,500,5,2,0.029916071471514802,4,0.03115179888411467
BA,500,7,3,0.0421172453044963,2,0.04360756398848888
BA,300,3,0,0.025551839464882944,3,0.026936026936026935
BA,300,5,5,0.044335414808206956,2,0.04539677584784499
BA,300,7,1,0.06336677814938685,3,0.06613597342074164
BA,500,3,0,0.01705811623246493,1,0.018260521042084168
BA,500,5,0,0.02956312625250501,0,0.03062124248496994
BA,500,7,1,0.04177955911823647,3,0.04279060819097854
BA,300,3,1,0.02443701226309922,6,0.027612356417977026
BA,300,5,0,0.04414715719063545,0,0.046109253065774805
BA,300,7,1,0.06416945373467113,7,0.06469026746079547
BA,500,3,1,0.016801603206412826,1,0.018084168336673347
BA,500,5,1,0.02946693386773547,2,0.030765777681584623
BA,500,7,0,0.041875751503006015,4,0.04365741037645097
BA,300,3,3,0.02524137623475372,1,0.027469342251950947
BA,300,5,1,0.044013377926421404,0,0.04695652173913043
BA,300,7,1,0.0633221850613155,5,0.06404995539696699
BA,500,3,0,0.017202404809619237,1,0.018148296593186373
BA,500,5,2,0.02973971735244371,2,0.030653552333084835
BA,500,7,1,0.04168336673346693,3,0.04291886778840373
BA,300,3,0,0.025462653288740245,2,0.026622667172066267
BA,300,5,3,0.0444622828728789,0,0.04735785953177257
BA,300,7,1,0.06390189520624304,2,0.06430466677071953
BA,500,3,1,0.017042084168336673,0,0.017779559118236473
BA,500,5,1,0.02914629258517034,0,0.030220440881763528
BA,500,7,4,0.041653305970627844,3,0.04306315983550706
BA,300,3,0,0.025105908584169452,1,0.02693422519509476
BA,300,5,0,0.04512820512820513,0,0.04700111482720178
BA,300,7,0,0.06350055741360089,2,0.06582086557113871
BA,500,3,4,0.01672224716218816,1,0.01769939879759519
BA,500,5,1,0.029739478957915833,4,0.030558583979991023
BA,500,7,1,0.04134669338677355,2,0.04251737488877667
BA,300,3,0,0.0253288740245262,2,0.026711855336796805
BA,300,5,0,0.04490523968784838,3,0.045844761076549154
BA,300,7,0,0.0632329988851728,0,0.06613154960981048
BA,500,3,4,0.017235297890078882,0,0.017731462925851704
BA,500,5,0,0.029130260521042083,1,0.030509018036072144
BA,500,7,1,0.042549098196392784,2,0.043992336611916726
BA,300,3,1,0.02613154960981048,0,0.028004459308807135
BA,300,5,1,0.04490523968784838,1,0.04602006688963211
BA,300,7,7,0.06339646211157955,1,0.06461538461538462
BA,500,3,0,0.017202404809619237,1,0.017635270541082163
BA,500,5,1,0.029531062124248497,1,0.03090981963927856
BA,500,7,0,0.041442885771543085,0,0.04338276553106212
BA,300,3,1,0.0253288740245262,0,0.026845039018952063
BA,300,5,3,0.0451758200102571,1,0.0463768115942029
BA,300,7,2,0.06376953778233628,1,0.0653288740245262
BA,500,3,1,0.017090180360721442,2,0.017875894796751876
BA,500,5,0,0.029595190380761523,0,0.030733466933867734
BA,500,7,0,0.04214829659318637,0,0.043062124248496994
BA,300,3,1,0.02564102564102564,0,0.027201783723522853
BA,300,5,3,0.04499743572591255,3,0.047182643209133276
BA,300,7,0,0.0626978818283166,3,0.0641737462929516
BA,500,3,0,0.016721442885771542,0,0.01834068136272545
BA,500,5,5,0.029324995991662658,1,0.0305250501002004
BA,500,7,0,0.04222845691382766,1,0.043687374749499
BA,300,3,0,0.02479375696767001,1,0.027201783723522853
BA,300,5,0,0.0441025641025641,1,0.046064659977703454
BA,300,7,0,0.0632329988851728,0,0.06644370122630992
BA,500,3,0,0.01729859719438878,1,0.017603206412825652
BA,500,5,1,0.02997995991983968,0,0.03074949899799599
BA,500,7,1,0.04177955911823647,2,0.04312659820920408
BA,300,3,0,0.02573021181716834,5,0.026181980374665476
BA,300,5,0,0.045752508361204015,2,0.04669000423643783
BA,300,7,1,0.0636789297658863,3,0.06586839699422481
BA,500,3,1,0.017074148296593185,3,0.01843731712987086
BA,500,5,1,0.02933867735470942,0,0.03111823647294589
BA,500,7,1,0.04193987975951904,0,0.043430861723446894
BA,300,3,1,0.025507246376811593,1,0.02653288740245262
BA,300,5,1,0.04544035674470457,1,0.046867335562987736
BA,300,7,1,0.06287625418060201,3,0.06542243628336343
BA,500,3,2,0.017186510513110327,5,0.017941317941317942
BA,500,5,4,0.02956454819470275,3,0.030477686838160437
BA,500,7,2,0.04213260226534882,6,0.04361245841183309
BA,300,3,0,0.025373467112597546,0,0.027157190635451505
BA,300,5,1,0.04468227424749164,1,0.046153846153846156
BA,300,7,1,0.06385730211817169,2,0.0652411425003902
BA,500,3,0,0.017234468937875752,0,0.01750701402805611
BA,500,5,0,0.029947895791583166,2,0.03087800303008441
BA,500,7,4,0.04224652087475149,2,0.04327088794298952
BA,300,3,0,0.0252396878483835,1,0.026220735785953176
BA,300,5,2,0.04410354745925216,0,0.04659977703455964
BA,300,7,2,0.06363575553524048,1,0.0650613154960981
BA,500,3,1,0.01705811623246493,2,0.017683508485037955
BA,500,5,3,0.030028778247172278,0,0.03098997995991984
BA,500,7,3,0.04221344000256519,5,0.043482443482443484
BA,300,3,1,0.02613154960981048,3,0.02822931299752492
BA,300,5,0,0.04486064659977704,1,0.04677814938684504
BA,300,7,1,0.06327759197324415,1,0.06613154960981048
BA,500,3,2,0.01696205981611075,4,0.018069005322901302
BA,500,5,0,0.029627254509018035,3,0.031022790127217488
BA,500,7,3,0.04157214201543925,0,0.043190380761523046
BA,300,3,0,0.02608695652173913,1,0.02688963210702341
BA,300,5,2,0.04499542910655756,0,0.04749163879598662
BA,300,7,2,0.06336819104104885,1,0.06666666666666667
BA,500,3,1,0.016817635270541084,0,0.01787575150300601
BA,500,5,4,0.02943628551273007,4,0.03062271532097736
BA,500,7,0,0.04179559118236473,1,0.04299799599198397
BA,300,3,0,0.02519509476031215,0,0.02693422519509476
BA,300,5,3,0.0451758200102571,1,0.0461984392419175
BA,300,7,1,0.06363433667781494,2,0.06497357800619857
BA,500,3,0,0.01668937875751503,0,0.01779559118236473
BA,500,5,1,0.029258517034068135,1,0.030284569138276554
BA,500,7,3,0.04235773204966853,1,0.043478957915831666
BA,300,3,0,0.02497212931995541,1,0.02666666666666667
BA,300,5,4,0.04433146017304433,1,0.04793756967670011
BA,300,7,0,0.06394648829431439,3,0.06493187950141592
BA,500,3,0,0.017074148296593185,3,0.01755553239757269
BA,500,5,0,0.02946693386773547,1,0.03079759519038076
BA,500,7,0,0.04198797595190381,1,0.042981963927855714
BA,300,3,2,0.025864567771856674,1,0.02697881828316611
BA,300,5,0,0.04392419175027871,9,0.046860356138706656
BA,300,7,0,0.06327759197324415,0,0.0651505016722408
BA,500,3,1,0.017186372745490983,2,0.017891926989394704
BA,500,5,1,0.02965931863727455,1,0.03116633266533066
BA,500,7,0,0.04171543086172345,1,0.043414829659318636
BA,300,3,0,0.02448160535117057,1,0.026800445930880712
BA,300,5,2,0.04454948828290486,0,0.046064659977703454
BA,300,7,1,0.06354515050167224,0,0.0651505016722408
BA,500,3,1,0.016817635270541084,0,0.01797194388777555
BA,500,5,0,0.029178356713426855,0,0.030284569138276554
BA,500,7,0,0.04171543086172345,1,0.04349498997995992
