type,vertex_count,dimension,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp, pagerank_energy, betweenness_fp, betweenness_energy, clustering_fp, clustering_energy, degree_fp, degree_energy
grid,50,2,0,0.035918367346938776,0,0.0163265306122449,0,0.03428571428571429,0,0.029387755102040815,2,0.0392156862745098,2,0.0392156862745098
grid,100,2,0,0.02707070707070707,0,0.02585858585858586,0,0.026262626262626262,0,0.020202020202020204,0,0.025454545454545455,2,0.026267932915740554
grid,150,2,1,0.022013422818791945,1,0.02022371364653244,1,0.02237136465324385,2,0.0209414712725971,5,0.02167487684729064,0,0.02093959731543624
grid,50,2,0,0.04244897959183674,6,0.03305785123966942,1,0.037551020408163265,0,0.0,5,0.024691358024691357,1,0.04081632653061224
grid,100,2,0,0.028686868686868688,3,0.02304426925409339,0,0.02383838383838384,0,0.012121212121212121,1,0.028282828282828285,0,0.02585858585858586
grid,150,2,1,0.021655480984340045,2,0.02112045820655092,0,0.02272930648769575,1,0.021476510067114093,3,0.022198353025420694,0,0.02022371364653244
grid,50,2,0,0.031020408163265307,0,0.026122448979591838,1,0.0163265306122449,0,0.0,0,0.035918367346938776,0,0.03918367346938775
grid,100,2,0,0.02666666666666667,1,0.025454545454545455,0,0.022626262626262626,0,0.008484848484848486,1,0.027474747474747475,0,0.028686868686868688
grid,150,2,4,0.0220252484555466,0,0.02093959731543624,0,0.021834451901565997,1,0.015212527964205816,1,0.022013422818791945,0,0.021297539149888144
grid,50,2,0,0.035918367346938776,0,0.006530612244897959,0,0.009795918367346938,0,0.0,4,0.044298605414273995,5,0.0411522633744856
grid,100,2,0,0.025454545454545455,1,0.024646464646464646,3,0.025469981807155852,0,0.024242424242424242,1,0.028282828282828285,0,0.026262626262626262
grid,150,2,3,0.022198353025420694,4,0.020234577849404602,0,0.019149888143176735,2,0.01950957580096653,0,0.021655480984340045,0,0.022013422818791945
grid,50,2,0,0.04244897959183674,0,0.006530612244897959,4,0.02461033634126333,8,0.01670843776106934,0,0.035918367346938776,0,0.031020408163265307
grid,100,2,0,0.02666666666666667,0,0.028282828282828285,0,0.02707070707070707,5,0.012955465587044534,1,0.028282828282828285,0,0.025050505050505052
grid,150,2,0,0.024340044742729307,0,0.021476510067114093,0,0.021834451901565997,0,0.012527964205816556,4,0.0220252484555466,1,0.022013422818791945
grid,50,2,0,0.044081632653061226,0,0.019591836734693877,0,0.024489795918367346,0,0.04244897959183674,0,0.037551020408163265,0,0.03428571428571429
grid,100,2,0,0.02666666666666667,0,0.025050505050505052,1,0.026262626262626262,1,0.023434343434343436,0,0.026262626262626262,1,0.024646464646464646
grid,150,2,5,0.022033139274518585,2,0.020225523536781816,5,0.0225705329153605,0,0.01664429530201342,1,0.0229082774049217,1,0.02237136465324385
grid,50,2,0,0.037551020408163265,0,0.006530612244897959,2,0.03594771241830065,1,0.05061224489795919,2,0.0457516339869281,1,0.03428571428571429
grid,100,2,0,0.025050505050505052,0,0.024242424242424242,2,0.0266720549605981,6,0.023910840932117528,0,0.028282828282828285,2,0.0266720549605981
grid,150,2,1,0.023624161073825502,0,0.019865771812080536,0,0.021118568232662192,0,0.01843400447427293,0,0.022550335570469798,4,0.021129913152475602
grid,50,2,1,0.035918367346938776,1,0.03918367346938775,2,0.04411764705882353,0,0.006530612244897959,3,0.03436988543371522,2,0.03431372549019608
