type,vertex_count,edge_density,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp, pagerank_energy, betweenness_fp, betweenness_energy, clustering_fp, clustering_energy, degree_fp, degree_energy
ER,20,0.2,0,0.1368421052631579,1,0.14736842105263157,0,0.16842105263157894,2,0.12698412698412698,1,0.15789473684210525,0,0.14736842105263157
ER,20,0.3,1,0.18947368421052632,10,0.13793103448275862,0,0.2,0,0.18947368421052632,1,0.2,1,0.17894736842105263
ER,20,0.4,1,0.25263157894736843,1,0.18947368421052632,3,0.23529411764705882,6,0.24,0,0.25263157894736843,0,0.22105263157894736
ER,20,0.5,1,0.22105263157894736,0,0.23157894736842105,3,0.21390374331550802,1,0.22105263157894736,3,0.25668449197860965,6,0.24
ER,50,0.1,6,0.0859504132231405,0,0.0946938775510204,6,0.0859504132231405,6,0.08925619834710743,0,0.09142857142857143,1,0.08489795918367347
ER,50,0.2,1,0.18612244897959185,5,0.18930041152263374,0,0.18612244897959185,2,0.18627450980392157,1,0.18775510204081633,2,0.1895424836601307
ER,50,0.3,1,0.25795918367346937,3,0.2520458265139116,0,0.26285714285714284,0,0.2595918367346939,0,0.2546938775510204,4,0.25102543068088595
ER,50,0.4,2,0.28594771241830064,1,0.28244897959183674,0,0.27918367346938777,0,0.28244897959183674,1,0.2938775510204082,0,0.2938775510204082
ER,50,0.5,7,0.30398671096345514,4,0.3084495488105004,2,0.3088235294117647,2,0.3088235294117647,0,0.3036734693877551,0,0.313469387755102
ER,100,0.1,1,0.11151515151515151,3,0.1095613503133212,0,0.1111111111111111,3,0.11117849201536284,0,0.11232323232323232,1,0.1111111111111111
ER,100,0.2,3,0.2183141297756216,0,0.21494949494949495,0,0.2206060606060606,4,0.22532362459546926,4,0.218042071197411,5,0.22631578947368422
ER,100,0.3,0,0.30303030303030304,2,0.30672863204687817,3,0.3068526379624015,0,0.3006060606060606,2,0.30834512022630833,4,0.29894822006472493
ER,100,0.4,1,0.343030303030303,0,0.3478787878787879,5,0.3497975708502024,3,0.3493026076409945,2,0.3483532026672055,0,0.3486868686868687
ER,100,0.5,1,0.3656565656565657,1,0.35878787878787877,0,0.3701010101010101,0,0.3595959595959596,2,0.3653263285512225,0,0.36727272727272725
ER,20,0.1,1,0.031578947368421054,3,0.03208556149732621,1,0.042105263157894736,1,0.042105263157894736,3,0.0213903743315508,5,0.022222222222222223
ER,20,0.2,2,0.12698412698412698,1,0.11578947368421053,2,0.09523809523809523,1,0.14736842105263157,0,0.1368421052631579,8,0.14814814814814814
ER,20,0.3,4,0.18478260869565216,3,0.18181818181818182,2,0.17989417989417988,0,0.22105263157894736,1,0.21052631578947367,5,0.17777777777777778
ER,20,0.4,0,0.24210526315789474,1,0.22105263157894736,0,0.24210526315789474,2,0.25396825396825395,1,0.22105263157894736,7,0.2603550295857988
ER,20,0.5,2,0.2328042328042328,0,0.22105263157894736,6,0.22857142857142856,4,0.21739130434782608,0,0.23157894736842105,2,0.15873015873015872
ER,50,0.1,4,0.08039376538146022,0,0.08326530612244898,2,0.08006535947712418,4,0.08039376538146022,2,0.08169934640522876,3,0.08019639934533551
ER,50,0.2,1,0.18775510204081633,3,0.1718494271685761,0,0.17959183673469387,0,0.18775510204081633,0,0.17795918367346938,4,0.1689909762100082
ER,50,0.3,1,0.2546938775510204,1,0.25142857142857145,1,0.24979591836734694,1,0.2595918367346939,0,0.2563265306122449,0,0.25795918367346937
ER,50,0.4,3,0.2978723404255319,2,0.27941176470588236,2,0.28921568627450983,0,0.3004081632653061,1,0.313469387755102,3,0.2896890343698854
ER,50,0.5,3,0.31260229132569556,3,0.31260229132569556,1,0.31673469387755104,5,0.29958847736625516,0,0.2987755102040816,1,0.313469387755102
ER,100,0.1,3,0.11683848797250859,0,0.11636363636363636,1,0.12080808080808081,1,0.11676767676767677,0,0.11636363636363636,0,0.11717171717171718
ER,100,0.2,1,0.22343434343434343,2,0.2210547585370782,0,0.22626262626262628,0,0.22747474747474747,0,0.2307070707070707,2,0.22994544352394422
ER,100,0.3,0,0.29454545454545455,2,0.297029702970297,0,0.29777777777777775,2,0.30147504546373005,4,0.29894822006472493,1,0.2921212121212121
ER,100,0.4,1,0.3486868686868687,2,0.3422913719943423,1,0.3498989898989899,2,0.347949080622348,2,0.34714083653263283,3,0.35172832019405703
ER,100,0.5,3,0.36628259551243175,2,0.3596686199232168,1,0.3612121212121212,1,0.36404040404040405,1,0.3660606060606061,1,0.36
ER,20,0.1,2,0.05291005291005291,5,0.06666666666666667,0,0.07368421052631578,1,0.05263157894736842,0,0.07368421052631578,1,0.07368421052631578
ER,20,0.2,4,0.10869565217391304,1,0.09473684210526316,12,0.0967741935483871,1,0.11578947368421053,7,0.16568047337278108,2,0.1164021164021164
ER,20,0.3,1,0.2,0,0.2,1,0.18947368421052632,0,0.17894736842105263,1,0.18947368421052632,0,0.18947368421052632
ER,20,0.4,1,0.22105263157894736,1,0.18947368421052632,1,0.23157894736842105,0,0.2,2,0.20105820105820105,2,0.20105820105820105
ER,20,0.5,0,0.25263157894736843,1,0.24210526315789474,0,0.23157894736842105,6,0.21714285714285714,2,0.26455026455026454,8,0.20987654320987653
ER,50,0.1,2,0.08496732026143791,0,0.08326530612244898,1,0.08,1,0.08,3,0.08183306055646482,1,0.08653061224489796
ER,50,0.2,0,0.20408163265306123,1,0.20408163265306123,1,0.19591836734693877,2,0.1977124183006536,0,0.2089795918367347,0,0.20081632653061224
ER,50,0.3,0,0.2677551020408163,3,0.27168576104746317,1,0.2612244897959184,1,0.2546938775510204,0,0.2612244897959184,3,0.26677577741407527
ER,50,0.4,4,0.29860541427399506,0,0.3053061224489796,1,0.30857142857142855,5,0.2979423868312757,2,0.3022875816993464,2,0.3022875816993464
ER,50,0.5,1,0.313469387755102,0,0.31510204081632653,2,0.32189542483660133,1,0.30857142857142855,1,0.31510204081632653,0,0.30857142857142855
ER,100,0.1,0,0.11878787878787879,3,0.11602991712148777,1,0.11757575757575757,0,0.11878787878787879,0,0.11676767676767677,1,0.1191919191919192
ER,100,0.2,2,0.22226712467165083,0,0.22424242424242424,0,0.22585858585858587,0,0.22262626262626262,6,0.22168186423505573,3,0.22518698200929857
ER,100,0.3,3,0.2935112189205579,0,0.30383838383838385,2,0.29824206910486967,0,0.2909090909090909,1,0.2961616161616162,3,0.29553264604810997
ER,100,0.4,0,0.3422222222222222,0,0.3470707070707071,1,0.3402020202020202,0,0.3377777777777778,0,0.341010101010101,2,0.34350373812891494
ER,100,0.5,1,0.3591919191919192,0,0.36767676767676766,1,0.355959595959596,2,0.3596686199232168,1,0.36404040404040405,1,0.3604040404040404
ER,20,0.1,0,0.031578947368421054,1,0.031578947368421054,1,0.05263157894736842,6,0.022857142857142857,1,0.031578947368421054,12,0.0
ER,20,0.2,1,0.1368421052631579,8,0.13580246913580246,6,0.12571428571428572,3,0.13903743315508021,2,0.14814814814814814,1,0.14736842105263157
ER,20,0.3,0,0.16842105263157894,1,0.15789473684210525,3,0.1711229946524064,2,0.13756613756613756,7,0.16568047337278108,6,0.14857142857142858
ER,20,0.4,4,0.20652173913043478,2,0.2222222222222222,5,0.2222222222222222,2,0.20105820105820105,6,0.19428571428571428,1,0.21052631578947367
ER,20,0.5,0,0.2,0,0.25263157894736843,1,0.23157894736842105,2,0.21164021164021163,0,0.23157894736842105,0,0.23157894736842105
ER,50,0.1,3,0.09656301145662848,2,0.09313725490196079,5,0.09053497942386832,0,0.09959183673469388,3,0.09492635024549918,0,0.0946938775510204
ER,50,0.2,2,0.17647058823529413,1,0.16816326530612244,1,0.17959183673469387,0,0.16979591836734695,0,0.17959183673469387,11,0.17606837606837608
ER,50,0.3,2,0.25980392156862747,0,0.25795918367346937,3,0.24877250409165302,0,0.25142857142857145,6,0.25950413223140495,0,0.2546938775510204
ER,50,0.4,2,0.2973856209150327,1,0.2987755102040816,0,0.29551020408163264,0,0.2889795918367347,2,0.30392156862745096,1,0.31183673469387757
ER,50,0.5,1,0.31673469387755104,0,0.3020408163265306,1,0.3053061224489796,0,0.31673469387755104,0,0.2987755102040816,1,0.31020408163265306
ER,100,0.1,1,0.12323232323232323,0,0.12242424242424242,1,0.1204040404040404,0,0.11838383838383838,1,0.12121212121212122,2,0.12204485754697919
ER,100,0.2,0,0.2193939393939394,0,0.21898989898989898,2,0.21782178217821782,4,0.2196601941747573,0,0.22181818181818183,4,0.215210355987055
ER,100,0.3,1,0.296969696969697,0,0.3022222222222222,0,0.3014141414141414,3,0.2971497877501516,1,0.2973737373737374,0,0.2997979797979798
ER,100,0.4,4,0.34263754045307443,0,0.3426262626262626,1,0.34424242424242424,0,0.3486868686868687,2,0.34269549403919985,1,0.34626262626262627
ER,100,0.5,0,0.362020202020202,2,0.36330571832693476,1,0.3591919191919192,1,0.36686868686868684,2,0.36775106082036774,1,0.3571717171717172
ER,20,0.1,0,0.05263157894736842,0,0.06315789473684211,2,0.031746031746031744,2,0.031746031746031744,2,0.06349206349206349,2,0.042328042328042326
ER,20,0.2,1,0.08421052631578947,4,0.08695652173913043,1,0.08421052631578947,1,0.08421052631578947,0,0.10526315789473684,16,0.05714285714285714
ER,20,0.3,2,0.19047619047619047,2,0.20105820105820105,1,0.2,0,0.18947368421052632,0,0.17894736842105263,0,0.2
ER,20,0.4,12,0.1935483870967742,5,0.24444444444444444,2,0.21164021164021163,2,0.20105820105820105,0,0.24210526315789474,0,0.22105263157894736
ER,20,0.5,1,0.2,0,0.23157894736842105,1,0.21052631578947367,0,0.21052631578947367,1,0.21052631578947367,3,0.23529411764705882
ER,50,0.1,0,0.0946938775510204,0,0.09306122448979592,0,0.09306122448979592,0,0.0946938775510204,1,0.09306122448979592,1,0.0963265306122449
ER,50,0.2,6,0.1669421487603306,0,0.16653061224489796,0,0.15836734693877552,0,0.15836734693877552,0,0.16326530612244897,2,0.15849673202614378
ER,50,0.3,1,0.24489795918367346,3,0.25040916530278234,2,0.24673202614379086,1,0.24653061224489795,1,0.25142857142857145,1,0.2595918367346939
ER,50,0.4,0,0.29551020408163264,1,0.3053061224489796,0,0.313469387755102,0,0.27918367346938777,0,0.2922448979591837,3,0.3060556464811784
ER,50,0.5,2,0.3104575163398693,2,0.32516339869281047,1,0.3248979591836735,5,0.31440329218106994,0,0.31020408163265306,3,0.2945990180032733
ER,100,0.1,1,0.11272727272727273,0,0.11393939393939394,0,0.11555555555555555,0,0.11515151515151516,6,0.11469098277608916,0,0.11474747474747475
ER,100,0.2,1,0.22141414141414142,2,0.21782178217821782,0,0.21535353535353535,0,0.22101010101010102,1,0.21858585858585858,1,0.2197979797979798
ER,100,0.3,0,0.29535353535353537,1,0.30303030303030304,1,0.296969696969697,2,0.30389977773287535,0,0.3014141414141414,2,0.30430389977773287
ER,100,0.4,1,0.3478787878787879,0,0.3511111111111111,0,0.34505050505050505,2,0.35158617902606587,1,0.3470707070707071,0,0.3511111111111111
ER,100,0.5,1,0.3608080808080808,2,0.3620933521923621,0,0.3567676767676768,0,0.355959595959596,0,0.36363636363636365,0,0.35838383838383836
ER,20,0.1,2,0.08465608465608465,8,0.04938271604938271,2,0.06349206349206349,2,0.05291005291005291,12,0.03225806451612903,17,0.037037037037037035
ER,20,0.2,1,0.1368421052631579,4,0.11956521739130435,1,0.11578947368421053,1,0.11578947368421053,1,0.1368421052631579,7,0.11834319526627218
ER,20,0.3,5,0.24444444444444444,0,0.2,2,0.15873015873015872,0,0.2,4,0.14130434782608695,3,0.18181818181818182
ER,20,0.4,2,0.25396825396825395,1,0.23157894736842105,0,0.24210526315789474,6,0.18285714285714286,1,0.2,4,0.15217391304347827
ER,20,0.5,8,0.2345679012345679,1,0.2736842105263158,6,0.19428571428571428,1,0.25263157894736843,1,0.23157894736842105,0,0.24210526315789474
ER,50,0.1,3,0.08183306055646482,1,0.07673469387755102,0,0.08326530612244898,1,0.08326530612244898,1,0.08326530612244898,0,0.08653061224489796
ER,50,0.2,3,0.1751227495908347,1,0.1910204081632653,1,0.17469387755102042,1,0.18612244897959185,3,0.19639934533551553,1,0.17795918367346938
ER,50,0.3,1,0.2530612244897959,3,0.2569558101472995,1,0.25142857142857145,1,0.25142857142857145,4,0.23954060705496308,0,0.24489795918367346
ER,50,0.4,0,0.2938775510204082,0,0.2857142857142857,1,0.2889795918367347,0,0.2873469387755102,2,0.28594771241830064,2,0.2826797385620915
ER,50,0.5,2,0.315359477124183,2,0.29901960784313725,1,0.3053061224489796,5,0.31440329218106994,1,0.3036734693877551,1,0.3183673469387755
ER,100,0.1,0,0.11393939393939394,2,0.11315417256011315,0,0.11393939393939394,1,0.11353535353535353,1,0.11717171717171718,2,0.11477066073954334
ER,100,0.2,1,0.21373737373737373,0,0.22262626262626262,2,0.22226712467165083,3,0.22235698403072568,0,0.22141414141414142,0,0.21858585858585858
ER,100,0.3,5,0.2951417004048583,3,0.30280978370729733,0,0.3018181818181818,0,0.3006060606060606,3,0.30563978168587025,0,0.30464646464646467
ER,100,0.4,2,0.347949080622348,2,0.3475449585774904,1,0.3470707070707071,5,0.34615384615384615,1,0.3470707070707071,0,0.341010101010101
ER,100,0.5,1,0.3595959595959596,0,0.35555555555555557,0,0.36646464646464644,0,0.36282828282828283,0,0.36,0,0.36404040404040405
ER,20,0.1,1,0.031578947368421054,1,0.05263157894736842,0,0.05263157894736842,1,0.05263157894736842,7,0.05917159763313609,1,0.042105263157894736
ER,20,0.2,0,0.10526315789473684,7,0.1301775147928994,3,0.12834224598930483,1,0.1368421052631579,0,0.11578947368421053,7,0.14201183431952663
ER,20,0.3,0,0.16842105263157894,1,0.1368421052631579,2,0.12698412698412698,0,0.1368421052631579,2,0.13756613756613756,3,0.12834224598930483
ER,20,0.4,3,0.1711229946524064,2,0.20105820105820105,3,0.22459893048128343,7,0.20118343195266272,1,0.25263157894736843,0,0.24210526315789474
ER,20,0.5,3,0.26737967914438504,1,0.25263157894736843,1,0.24210526315789474,2,0.25396825396825395,3,0.22459893048128343,0,0.22105263157894736
ER,50,0.1,2,0.08169934640522876,1,0.09306122448979592,0,0.09306122448979592,0,0.08489795918367347,8,0.0885547201336675,0,0.08653061224489796
ER,50,0.2,0,0.18122448979591838,1,0.18122448979591838,1,0.18612244897959185,0,0.18612244897959185,1,0.18285714285714286,0,0.17795918367346938
ER,50,0.3,0,0.2563265306122449,0,0.25795918367346937,2,0.2565359477124183,0,0.25795918367346937,5,0.2584362139917695,0,0.26285714285714284
ER,50,0.4,0,0.3020408163265306,0,0.2987755102040816,0,0.3004081632653061,2,0.3022875816993464,4,0.31009023789991796,2,0.29411764705882354
ER,50,0.5,0,0.31183673469387757,2,0.3022875816993464,0,0.30857142857142855,0,0.31183673469387757,5,0.3111111111111111,4,0.32157506152584087
ER,100,0.1,0,0.10828282828282829,1,0.11353535353535353,2,0.1066882198423924,1,0.1103030303030303,1,0.11313131313131314,1,0.10949494949494949
ER,100,0.2,2,0.22509597898565367,0,0.2202020202020202,1,0.22262626262626262,0,0.22707070707070706,4,0.22370550161812297,1,0.22464646464646465
ER,100,0.3,1,0.2921212121212121,2,0.2974338250151546,1,0.29777777777777775,1,0.2925252525252525,1,0.29494949494949496,1,0.2965656565656566
ER,100,0.4,0,0.3478787878787879,1,0.3478787878787879,0,0.34505050505050505,1,0.3498989898989899,2,0.34431198221863,1,0.3397979797979798
ER,100,0.5,2,0.3588603758335017,0,0.36282828282828283,3,0.360622599555286,0,0.3616161616161616,2,0.356839765609214,1,0.36363636363636365
ER,20,0.1,1,0.07368421052631578,0,0.06315789473684211,0,0.05263157894736842,7,0.03550295857988166,8,0.04938271604938271,7,0.03550295857988166
ER,20,0.2,3,0.10695187165775401,1,0.1368421052631579,0,0.10526315789473684,1,0.10526315789473684,1,0.1368421052631579,3,0.10695187165775401
ER,20,0.3,1,0.11578947368421053,3,0.1497326203208556,3,0.13903743315508021,1,0.11578947368421053,8,0.2345679012345679,8,0.18518518518518517
ER,20,0.4,4,0.16304347826086957,0,0.17894736842105263,6,0.19428571428571428,3,0.21390374331550802,2,0.21164021164021163,1,0.23157894736842105
ER,20,0.5,8,0.2222222222222222,2,0.21164021164021163,8,0.19753086419753085,2,0.24338624338624337,1,0.18947368421052632,4,0.20652173913043478
ER,50,0.1,1,0.08,0,0.07183673469387755,2,0.07352941176470588,1,0.0783673469387755,2,0.07352941176470588,1,0.07183673469387755
ER,50,0.2,1,0.19755102040816327,2,0.19934640522875818,1,0.18122448979591838,0,0.18612244897959185,3,0.18494271685761046,0,0.19591836734693877
ER,50,0.3,4,0.25430680885972107,0,0.24653061224489795,1,0.25142857142857145,0,0.24653061224489795,0,0.25795918367346937,1,0.2546938775510204
ER,50,0.4,1,0.2987755102040816,1,0.29551020408163264,1,0.3004081632653061,0,0.3036734693877551,2,0.2957516339869281,2,0.30392156862745096
ER,50,0.5,1,0.3069387755102041,0,0.31020408163265306,0,0.31183673469387757,1,0.30857142857142855,0,0.31673469387755104,1,0.3036734693877551
ER,100,0.1,0,0.11434343434343434,0,0.11353535353535353,1,0.11393939393939394,0,0.11353535353535353,0,0.11838383838383838,1,0.11595959595959596
ER,100,0.2,0,0.22181818181818183,0,0.2197979797979798,0,0.21777777777777776,2,0.21822590422307536,1,0.21656565656565657,0,0.22141414141414142
ER,100,0.3,0,0.2957575757575758,0,0.2973737373737374,1,0.29373737373737374,0,0.29414141414141415,3,0.29431978977157874,1,0.29858585858585857
ER,100,0.4,1,0.3498989898989899,0,0.34424242424242424,0,0.3482828282828283,1,0.3470707070707071,5,0.34777327935222674,1,0.3466666666666667
ER,100,0.5,6,0.36149949341438703,1,0.3591919191919192,0,0.362020202020202,1,0.3624242424242424,1,0.36282828282828283,0,0.36363636363636365
ER,20,0.1,0,0.05263157894736842,2,0.042328042328042326,0,0.06315789473684211,1,0.05263157894736842,2,0.042328042328042326,0,0.05263157894736842
ER,20,0.2,0,0.14736842105263157,14,0.08080808080808081,0,0.14736842105263157,1,0.1368421052631579,0,0.12631578947368421,2,0.13756613756613756
ER,20,0.3,10,0.13793103448275862,2,0.14814814814814814,0,0.18947368421052632,1,0.16842105263157894,8,0.19753086419753085,8,0.18518518518518517
ER,20,0.4,1,0.18947368421052632,0,0.23157894736842105,0,0.23157894736842105,0,0.2,1,0.24210526315789474,1,0.2
ER,20,0.5,6,0.2057142857142857,1,0.21052631578947367,1,0.22105263157894736,6,0.2057142857142857,3,0.20320855614973263,2,0.2222222222222222
ER,50,0.1,2,0.09640522875816994,1,0.0946938775510204,1,0.09306122448979592,0,0.09306122448979592,0,0.08979591836734693,0,0.09306122448979592
ER,50,0.2,0,0.19428571428571428,3,0.19803600654664485,2,0.20261437908496732,0,0.19591836734693877,2,0.20588235294117646,1,0.19755102040816327
ER,50,0.3,5,0.26008230452674896,1,0.2742857142857143,0,0.26448979591836735,1,0.26612244897959186,1,0.2857142857142857,0,0.2693877551020408
ER,50,0.4,0,0.29061224489795917,0,0.29714285714285715,0,0.2889795918367347,1,0.28408163265306124,0,0.29714285714285715,0,0.2922448979591837
ER,50,0.5,0,0.31183673469387757,2,0.31862745098039214,0,0.31673469387755104,1,0.3183673469387755,0,0.3216326530612245,2,0.3104575163398693
ER,100,0.1,3,0.12209419850414392,0,0.12121212121212122,1,0.11717171717171718,4,0.11407766990291263,3,0.11683848797250859,3,0.11683848797250859
ER,100,0.2,0,0.23030303030303031,1,0.23030303030303031,0,0.2311111111111111,0,0.22828282828282828,0,0.23313131313131313,3,0.2259955528603194
ER,100,0.3,2,0.3018791675085876,0,0.3058585858585859,0,0.30303030303030304,1,0.30424242424242426,0,0.30383838383838385,2,0.3030915336431602
ER,100,0.4,1,0.3470707070707071,1,0.3466666666666667,0,0.3503030303030303,0,0.3434343434343434,0,0.3490909090909091,3,0.3488983222154841
ER,100,0.5,1,0.35838383838383836,1,0.3567676767676768,1,0.36484848484848487,0,0.36686868686868684,1,0.36444444444444446,1,0.36
ER,20,0.1,1,0.042105263157894736,1,0.05263157894736842,1,0.042105263157894736,2,0.05291005291005291,1,0.031578947368421054,0,0.031578947368421054
ER,20,0.2,4,0.10869565217391304,2,0.08465608465608465,0,0.11578947368421053,6,0.09142857142857143,2,0.09523809523809523,10,0.15172413793103448
ER,20,0.3,0,0.17894736842105263,4,0.17391304347826086,1,0.17894736842105263,0,0.16842105263157894,7,0.2485207100591716,0,0.18947368421052632
ER,20,0.4,1,0.22105263157894736,2,0.2222222222222222,1,0.21052631578947367,0,0.22105263157894736,5,0.2,4,0.17391304347826086
ER,20,0.5,8,0.2962962962962963,1,0.23157894736842105,3,0.23529411764705882,3,0.21390374331550802,8,0.24691358024691357,0,0.21052631578947367
